split,source_row,field,issue,text
train,871,statement,has_url,"Với 16.987 bộ mã truy xuất nguồn gốc nông sản thực phẩm đến thời điểm hiện tại, hệ thống truy xuất ại địa chỉ truy cập: http://checkvn.mard.gov.vn/ đã có sự tham gia của hơn 6.964 doanh nghiệp."
train,3620,statement,has_url,"Những nghi phạm sử dụng website ""https://airbamboobooking.com"" để lừa đảo người cần mua vé máy bay, website trên là do đối tượng thuê người tạo ra."
train,14,context,has_url,"Đẩy mạnh chuyển đổi số trong truy xuất nguồn gốc nông sản là việc làm cấp bách giúp nông sản Việt nhanh chóng tham gia chuỗi cung ứng toàn cầu. Tuy nhiên, hiện tại quá trình này vẫn gặp nhiều khó khăn. Diễn đàn ""Thúc đẩy số hóa trong truy xuất nguồn gốc nông sản - thực phẩm"" diễn ra trực tuyến lẫn trực tiếp, ở TP.HCM và Hà Nội. Trong hình: Đại diện Bộ Nông nghiệp và Phát triển nông thôn cùng các doanh nghiệp tham gia diễn đàn tại Hà Nội - Ảnh: C.T. Tại diễn đàn ""Thúc đẩy số hóa trong truy xuất nguồn gốc nông sản - thực phẩm"" do Bộ Nông nghiệp và Phát triển nông thôn phối hợp cùng các đơn vị tổ chức sáng 28-2, lãnh đạo bộ đã cập nhật các chính sách hỗ trợ mới nhất của Chính phủ về truy xuất nguồn gốc trong lĩnh vực sản xuất và chế biến nông sản - thực phẩm. Bên cạnh đó, nhiều kinh nghiệm, bài học từ các đơn vị chuyển đổi thành công cũng được chia sẻ và thảo luận để học tập. Phát biểu tại diễn đàn, ông Nguyễn Hoài Nam - đại diện Trung tâm Chuyển đổi số và Thống kê nông nghiệp - cho biết hệ thống truy xuất nguồn gốc của Bộ Nông nghiệp và Phát triển nông thôn đang được cài đặt và vận hành chính thức tại địa chỉ truy cập: http://checkvn.mard.gov.vn/. Đến thời điểm hiện tại, hệ thống truy xuất đã có sự tham gia của hơn 3.964 doanh nghiệp với 16.987 bộ mã truy xuất nguồn gốc nông sản thực phẩm. Tuy nhiên ông Nam cho biết việc phát triển, chuyển đổi số hệ thống truy xuất còn nhiều khó khăn. Cụ thể, sản xuất nông nghiệp tại Việt Nam còn manh mún, nhỏ lẻ nên việc áp dụng các công nghệ hiện đại như camera giám sát, bộ cảm biến, bộ định vị,… để theo dõi, giám sát quy trình sản xuất, cập nhật các thông tin vào hệ thống còn bất cập. Bên cạnh đó, việc triển khai, áp dụng hệ thống truy xuất nguồn gốc cần phải đầu tư kinh phí rất lớn. Chưa hết, còn nhiều khó khăn như hệ thống văn bản, tiêu chuẩn, quy chuẩn chưa chi tiết; truy xuất nguồn gốc chưa triển khai đồng bộ, thống nhất trên cả nước… Từ những khó khăn trên, ông Nam kiến nghị hệ thống truy xuất nguồn gốc quốc gia cần được xây dựng, phát triển theo hướng kết nối, liên thông và tập trung tương tự như mô hình Cổng dịch vụ công quốc gia. Bên cạnh đó, hành lang pháp lý cần cụ thể và chi tiết hơn để hoạt động xây dựng, ứng dụng được bài bản, thống nhất, phù hợp với tiêu chuẩn, quy chuẩn của Việt Nam và quốc tế. Đối với Bộ Nông nghiệp và Phát triển nông thôn, cần xây dựng tài liệu hướng dẫn kết nối, chia sẻ dữ liệu và sớm ban hành bộ tiêu chí về truy xuất nguồn gốc, chuỗi cung ứng... phục vụ việc kết nối, tích hợp vào cổng truy xuất nguồn gốc của bộ. Một sản phẩm nông sản khi đăng ký truy xuất nguồn gốc cần theo dõi từ lúc ở trang trại cho tới khi đến tay người tiêu dùng - Ảnh: N.H.N. Bà Nguyễn Thị Thành Thực - chủ tịch hội đồng quản trị, giám đốc Công ty CP Công nghệ phần mềm AutoAgri - cho rằng cần phải có phần mềm phù hợp, đặc biệt là phải phù hợp với trình độ của người sử dụng. Ví dụ như những người dân không biết chữ, không có máy vi tính thì người ta cũng phải tiếp cận được. Bên cạnh đó, bà Thực cũng khuyến khích những hộ nông dân nhỏ lẻ thành lập, tham gia vào các tổ hợp tác và các mô hình hợp tác xã để liên kết, hợp tác với nhau. Theo bà Thực, việc số hóa và chuyển đổi số không nhất thiết hộ nào cũng phải có điện thoại. Một người có thể sử dụng điện thoại và cập nhật cho hàng nghìn hộ. Còn ông Mai Quang Vinh, chủ tịch Liên hiệp Hợp tác xã Kinh tế số Việt Nam, bày tỏ mong muốn thời gian tới có thể phát triển mạnh một cổng thông tin chung về quản lý, giám sát thông tin sản phẩm. Qua đó, có thể đưa thông tin của hàng vạn hợp tác xã, ngành hàng, giá bán, giá mua nông sản… để tất cả các chủ thể có nhu cầu dễ dàng tiếp cận, tiến tới tất cả các khâu từ sản xuất đến tiêu thụ sẽ được minh bạch thông tin.)."
train,42,context,has_url,"The Legend Concert - Trịnh Công Sơn, đêm nhạc đặc biệt tưởng nhớ 22 năm ngày mất của cố nhạc sĩ Trịnh Công Sơn sẽ tổ chức vào ngày 9-4-2023 tại The Global City, với sự góp mặt của nhiều thế hệ nghệ sĩ. Chương trình âm nhạc The Legend Concert sẽ mở màn mùa đầu tiên với đêm nhạc đặc biệt tưởng nhớ nhạc sĩ Trịnh Công Sơn - Ảnh: Masterise Homes The Legend Concert - chương trình âm nhạc nằm trong chuỗi hoạt động nghệ thuật do Masterise Homes tổ chức sẽ khởi động mùa đầu tiên bằng một đêm nhạc đặc biệt để tưởng nhớ ngày mất của cố nhạc sĩ Trịnh Công Sơn - người có sức ảnh hưởng mãnh liệt đến âm nhạc Việt Nam. Các tác phẩm của cố nhạc sĩ sẽ được thể hiện qua giọng hát của nhiều thế hệ nghệ sĩ tài năng của làng nhạc Việt: Tuấn Ngọc, Hồng Nhung, Hà Anh Tuấn và khách mời đặc biệt là ca sĩ Trịnh Vĩnh Trinh - em gái cố nhạc sĩ Trịnh Công Sơn. The Legend Concert được dẫn dắt bởi tổng đạo diễn Cao Trung Hiếu, giám đốc âm nhạc Hoài Sa và có sự tham gia của nhiều thành viên khác trong gia đình cố nhạc sĩ Trịnh Công Sơn như biên đạo múa Alexander Tú Nguyễn và Sebastien Lý. Đạo diễn Cao Trung Hiếu cho biết: ""The Legend Concert - Trịnh Công Sơn sẽ là một đêm nhạc vô cùng đặc biệt, sự giao thoa bằng giọng hát của các thế hệ lần đầu tiên đứng cùng trên một sân khấu, cùng kể chuyện bằng những ca khúc tình yêu và thân phận của cố nhạc sĩ. Với không gian âm nhạc được thiết kế đầy chất nghệ thuật tại The Global City, đêm nhạc sẽ mang đến những trải nghiệm tuyệt vời cho tất cả khán giả, đặc biệt là những ai yêu nhạc Trịnh"". Chương trình âm nhạc đặc biệt The Legend Concert - Trịnh Công Sơn sẽ tổ chức tại trung tâm mới The Global City vào ngày 9-4 tới Ba giọng ca của ba thế hệ sẽ kể lại câu chuyện của một tượng đài âm nhạc bằng những phong cách khác nhau, nhưng vẫn truyền tải trọn vẹn tinh thần và cảm xúc mà nhạc sĩ Trịnh Công Sơn đã gửi gắm trong từng nốt nhạc. Tuấn Ngọc được nhạc sĩ Trịnh Công Sơn nhận định là ca sĩ hát nhạc của ông thành công nhất trong khi nàng ""Bống"" Hồng Nhung - người gắn liền với cuộc đời âm nhạc của cố nhạc sĩ - lại kể câu chuyện của ông với ""một sự lãng mạn mới"" mà ông đã từng chia sẻ về cô lúc sinh thời. Gương mặt của thế hệ thứ ba là ca sĩ Hà Anh Tuấn sẽ thể hiện nhạc Trịnh với nhịp điệu tươi mới của một thế hệ mới trẻ trung hơn. Đêm nhạc sẽ diễn ra vào lúc 20h ngày 9-4-2023 tại The Global City Sales Gallery (đường Đỗ Xuân Hợp, P.An Phú, TP Thủ Đức). Vé bán tại: https://ticketbox.vn/event/legend-concert-2023-86908?opm=tbox.home.slider.0 Đêm nhạc ""The Legend Concert - Trịnh Công Sơn"" với sự góp mặt của các ca sĩ: Tuấn Ngọc, Hồng Nhung, Hà Anh Tuấn Tại sự kiện, khán giả không chỉ được thưởng thức giai điệu và âm nhạc của Trịnh Công Sơn, mà còn được chiêm ngưỡng 12 tác phẩm hội họa do chính Trịnh Công Sơn vẽ và được gia đình ông gìn giữ qua nhiều năm. Bên cạnh đó, bộ sưu tập ảnh ""Trịnh Công Sơn - Lần đầu gặp lại"" của nhiếp ảnh gia Dương Minh Long cũng sẽ được kết hợp trưng bày. Triển lãm sẽ kéo dài từ ngày 10-4 đến 23-4 và mở cửa tự do dành cho khách hàng và người hâm mộ đến tham quan."
train,51,context,has_url,"Vào ngày 18 tháng 3 vừa qua, Trường Quốc tế Song ngữ Victoria Nam Sài Gòn và Đối tác chiến lược Vietjet Air phối hợp tổ chức thành công khóa học đầu tiên trong hoạt động Trải nghiệm hướng nghiệp thực tế ngành Hàng không “Born to fly.” Trường Victoria Nam Sài Gòn cùng các bé - Ảnh Trường Victoria Nam Sài Gòn Chương trình nhằm tạo điều kiện cho các em học sinh từ Tiểu học đến Trung học có cơ hội va chạm với môi trường làm việc thực tế, đặc biệt là một ngành nghề đặc thù như những “chiến binh bầu trời”. “Những giấc mơ bay” của Victoria Nam Sài Gòn đưa các em học sinh đến với hai hành trình “Desire the sky- Khát vọng bầu trời” và “Delight the flight - Vút bay kiêu hãnh”. Hoạt động lần này là những trải nghiệm thực tế như nhập vai trở thành phi công, tiếp viên hàng không chuyên nghiệp, tham quan khoang máy bay, buồng phi công giả lập, xử lý tình huống an toàn bay. Các bé Trải nghiệm làm phi công trên buồng lái máy bay giả lập - Ảnh Trường Victoria Nam Sài Gòn Các bé nhập vai nghề tiếp viên hàng không - Ảnh Trường Victoria Nam Sài Gòn “Giữa lý thuyết và thực hành luôn tồn tại khoảng cách, vậy nên trải nghiệm thực tế là cách hiệu quả để học sinh khám phá và hiểu được sự khác biệt. “Nghiệp vụ thật” với những “con người thật” đến từ học viện Hàng không Vietjet, Victoria Nam Sài Gòn sẽ chắp cánh cho các em về khát khao chinh phục, tìm hiểu một ngành nghề phù hợp xu hướng, thêm một lựa chọn cho tương lai và lấy đó làm động lực, nỗ lực không ngừng.” - Cô Nguyễn Thụy Thảo Đang - Phó Hiệu trưởng Phụ trách Hoạt động học sinh Trường Victoria Nam Sài Gòn chia sẻ. Victoria Nam Sài Gòn sẽ tiếp tục tổ chức nhiều chương trình trải nghiệm doanh nghiệp đến với các em học sinh, tạo điều kiện cho các em có cơ hội tìm hiểu, khám phá sâu rộng hơn nhiều ngành nghề, mang đến cho các em những kiến thức thiết thực, nhiều sự lựa chọn nghề nghiệp trong tương lai. Là một phần của Khu Đô thị Dragon City, với mong muốn kiến tạo những giá trị bền vững, nâng tầm chất lượng cuộc sống, trường Victoria Nam Sài Gòn ra đời và đồng hành cùng cộng đồng dân cư trên hành trình giáo dục và đào tạo những thế hệ học sinh có trách nhiệm, tự tin thể hiện bản thân và sẵn sàng trở thành những công dân toàn cầu. Address: 803A Nguyen Huu Tho St, Nha Be District, HCMC Email: info@vsss.edu.vn Hotline: 0852 600 800 Website: www.vsss.edu.vn Working Hours: 8 a.m - 8.30 p.m"
train,871,evidence,has_url,"tại địa chỉ truy cập: http://checkvn.mard.gov.vn/. Đến thời điểm hiện tại, hệ thống truy xuất đã có sự tham gia của hơn 3.964 doanh nghiệp với 16.987 bộ mã truy xuất nguồn gốc nông sản thực phẩm"
train,2022,evidence,has_url,"Cụ thể, trong thời gian vừa qua tại đường link: https://congbotpcn.com/thuc-pham-bao-ve-suc-khoe-ca-gai-leo-giai-doc-gan-mb.html quảng cáo Theo đó, tại đường link: https://nhathuocduclan.vn/la-han-qua-tana-khong-duong-hop-24-vien; https://nhathuocduclan.vn/la-han-qua-tana-hop-24-vien-ngam, quảng cáo thực phẩm bảo vệ sức khỏe"
train,2558,evidence,has_url,"Sản phẩm vi phạm quy định của pháp luật về quảng cáo Cục An toàn thực phẩm đang phối hợp với các cơ quan chức năng xác minh, xử lý theo quy định hiện hành. Kết quả xử lý sẽ công khai trên website của cục tại địa chỉ: https://vfa.gov.vn/ và cổng công khai y tế tại địa chỉ https://congkhaiyte.moh.gov.vn/."
dev,683,statement,has_url,"Ngày 30-3-2023, tại địa chỉ https://www.facebook.com/tuyensinhso có đăng hình ảnh mạo danh Bộ GD-ĐT công bố lịch thi tốt nghiệp THPT năm 2023, Bộ GD-ĐT cho biết."
dev,5,context,has_url,"(PLO)- Sau khi dừng cung cấp dịch vụ tin nhắn tra cứu qua đầu số 8079, người dân có thể tra cứu thông tin trên nhiều kênh miễn phí của BHXH Việt Nam. Ngày 3-3, BHXH Việt Nam cho biết sẽ dừng triển khai tin nhắn tra cứu đến đầu số 8079, gồm các tin nhắn tra cứu sau: “Tra cứu thời gian tham gia BHXH”, “Tra cứu thời hạn sử dụng thẻ BHYT”,“Tra cứu hồ sơ đã nộp, tình trạng hồ sơ”, “Tra cứu lại mật khẩu...”. Cuối năm 2018, BHXH Việt Nam triển khai cung cấp dịch vụ các tin nhắn tra cứu nêu trên qua đầu số 8079 với mức phí 1.000 đồng/tin nhắn. Đến nay, ngoài việc tra cứu bằng cách nhắn tin nêu trên, người dân, doanh nghiệp đã có rất nhiều lựa chọn tra cứu miễn phí khác do BHXH Việt Nam cung cấp, như qua ứng dụng “VssID - Bảo hiểm xã hội số”, cổng Thông tin điện tử BHXH Việt Nam, cổng dịch vụ công BHXH Việt Nam. Bên cạnh đó, theo quy định tại khoản 6 Điều 21 Luật BHXH: Người sử dụng lao động có trách nhiệm “Định kỳ 6 tháng, niêm yết công khai thông tin về việc đóng BHXH cho người lao động; cung cấp thông tin về việc đóng BHXH của người lao động khi người lao động hoặc tổ chức công đoàn yêu cầu”. Theo đó, việc ngành BHXH Việt Nam tiếp tục cung cấp dịch vụ tin nhắn tra cứu qua đầu số 8079 là không còn cần thiết. Sau khi BHXH Việt Nam dừng triển khai việc cung cấp các dịch vụ tra cứu qua tin nhắn nêu trên, người dân, doanh nghiệp có thể sử dụng các kênh cung cấp dịch vụ tra cứu thông tin miễn phí khác của ngành như: - “Tra cứu thời gian tham gia BHXH”,“Tra cứu thời hạn sử dụng thẻ BHYT” qua: Ứng dụng “VssID - Bảo hiểm xã hội số” hoặc chức năng tra cứu trực tuyến trên Cổng Thông tin điện tử BHXH Việt Nam (https://baohiemxahoi.gov.vn). - “Tra cứu hồ sơ đã nộp, tình trạng hồ sơ” qua chức năng Tra cứu trên Cổng Dịch vụ công BHXH Việt Nam (https://dichvucong.baohiemxahoi.gov.vn). - “Cấp lại mật khẩu tài khoản giao dịch BHXH điện tử” qua chức năng Quên mật khẩu trên ứng dụng “VssID - Bảo hiểm xã hội số” hoặc Cổng Dịch vụ công BHXH Việt Nam (mật khẩu sẽ được cung cấp qua địa chỉ email mà người dân kê khai khi đăng ký tài khoản giao dịch BHXH điện tử). Trường hợp khi đăng ký tài khoản giao dịch BHXH điện tử mà người dân chưa có thông tin về địa chỉ email, người dân có thể bổ sung địa chỉ email qua các kênh sau: - Thực hiện việc lập tờ khai TK1-TS để kê khai bổ sung thông tin email thông qua giao dịch BHXH điện tử của đơn vị, tổ chức dịch vụ thu đang quản lý. - Thực hiện lập tờ khai thay đổi, bổ sung thông tin đăng ký sử dụng phương thức giao dịch điện tử trong lĩnh vực BHXH theo Mẫu số 02/SĐ-GD, đến nộp trực tiếp tại cơ quan BHXH nơi gần nhất. - Liên hệ trực tiếp tới Trung tâm Dịch vụ hỗ trợ, chăm sóc khách hàng qua số hotline 1900.9068 để được hỗ trợ cấp lại mật khẩu của tài khoản giao dịch BHXH điện tử."
