source_row,statement,evidence,label_name,predicted_label,is_correct,error_type,gold_label_explanation,failure_reason,suggested_adjustment
1377,Bản sao của bộ xương hóa thách được tìm thấy sau khoảng 10 năm khai quật.,"bản sao bộ xương hóa thạch của một trong 6 con titanosaur được tìm thấy sau khi một nông dân ở vùng Argentina phát hiện ra một xương đùi khổng lồ nhô ra khỏi mặt đất vào năm 2010, dẫn đến quá trình khai quật kéo dài nhiều năm.",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
819,Số lượng các cuộc tấn công hàng ngày của Nga vào Bakhmut đã tăng đều đặn trong bốn tuần qua sau khi đã giảm liên tục từ đầu tháng 3.,"số vụ tấn công trung bình hàng ngày của Nga vào TP Bakhmut đã giảm trong 4 tuần liên tiếp kể từ đầu tháng 3,",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
1173,"Với các bệnh lý xương khớp thường chụp x - quang trước vì giá thành rẻ, sau đó mới tiến hành chụp MRI nếu cần.","Bác sĩ Loan cho biết: ""Với các bệnh lý xương khớp, phương pháp chụp cộng hưởng từ (MRI) có tác dụng rất lớn trong việc chẩn đoán sớm, chính xác. Đây là kỹ thuật không xâm lấn giúp tạo ra hình ảnh chi tiết về cấu trúc bên trong cơ thể. MRI không sử dụng tia bức xạ (tia X) nên rất an toàn.",NEI,Refuted,False,Phủ định / Ngữ nghĩa nghịch đảo,,Câu có từ phủ định hoặc đảo ngữ tinh vi khiến mô hình nhận định sai hướng quan hệ.,
967,"Sau khi chính phủ tỏ chức điều tra, đến nay vẫn chưa tìm ra nguyên nhân khiến chiếc máy bay gặp nạn",Thủ tướng Nepal Pushpa Kamal Dahal đã triệu tập một cuộc họp khẩn cấp của Chính phủ để triển khai việc khắc phục hậu quả và điều tra nguyên nhân vụ tai nạn.,NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
504,Cuộc đua xe đạp quy tụ 100 đội đua xe chuyên nghiệp trong nước tham gia.,. Cuộc đua xe đạp Cúp Truyền hình TP.HCM 2023 với slogan “Non sông liền một dải - Niềm tin chiến thắng” quy tụ tất cả đội đua mạnh trên cả nước vốn quen thuộc với làng xe đạp chuyên nghiệp gồm,NEI,Refuted,False,Tương đồng từ vựng cao (Overfitting lexical overlap),,Câu phát biểu trùng nhiều từ khóa với bằng chứng nhưng thiếu thông tin xác minh quyết định.,
512,"Khi dọn nhà nếu gặp đống tài liệu cũ, phải ngồi đọc lại để phân loại cái tiếp tục lưu trữ hay không.","Khi bạn tính đến các giải pháp lưu trữ, việc đưa một món đồ đến vị trí phù hợp buộc bạn phải ""chạm"" vào nó rất nhiều lần. Vì vậy, bạn luôn phải nhìn vào thực tế khi áp dụng quy tắc và ghi nhớ giá trị thực của nó.",NEI,Refuted,False,Phủ định / Ngữ nghĩa nghịch đảo,,Câu có từ phủ định hoặc đảo ngữ tinh vi khiến mô hình nhận định sai hướng quan hệ.,
1413,Ronaldo hiện đang giữ chức đội trưởng của đội tuyển quốc gia Bồ Đào Nha.,Ronaldo vẫn là nhân vật quan trọng của Bồ Đào Nha và được HLV Roberto Martinez trao quyền lực ở đội tuyển.,NEI,Refuted,False,Tương đồng từ vựng cao (Overfitting lexical overlap),,Câu phát biểu trùng nhiều từ khóa với bằng chứng nhưng thiếu thông tin xác minh quyết định.,
1191,Bến xe Miền Đông chính thức hoạt động từ tháng 10-2020 và hiện nay có khoảng 150 tuyến xe khách được chủ trương di dời về hoạt động tại đây.,"Trước đó, bến xe Miền Đông mới chính thức hoạt động từ tháng 10-2020 và đến tháng 10-2021 có 120 tuyến xe khách di dời về hoạt động tại đây.",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
703,Marisa Lago bày tỏ ủng hộ những nỗ lực của Việt Nam trong việc xây dựng môi trường đầu tư bình đẳng và minh bạch.,"Việt Nam đang nỗ lực xây dựng một môi trường đầu tư kinh doanh công bằng, minh bạch",NEI,Refuted,False,Tương đồng từ vựng cao (Overfitting lexical overlap),,Câu phát biểu trùng nhiều từ khóa với bằng chứng nhưng thiếu thông tin xác minh quyết định.,
110,"Đề án dạy và học môn Toán, Khoa học và tiếng Anh tích hợp theo khung chương trình quốc gia Anh và Việt Nam được đưa vào giáo dục từ năm 2017.",". Đề án dạy và học môn Toán, Khoa học và tiếng Anh tích hợp theo khung chương trình quốc gia Anh và Việt Nam (còn gọi là chương trình tiếng Anh tích hợp) được UBND thành phố cho phép triển khai tại các trường công lập cách đây gần chục năm",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
169,"Châu Phi đã bị bỏ quên dưới thời tổng thống Donald Trump, tạo cơ hội cho Nga và Trung Quốc gây ảnh hưởng lên Châu Phi.",Có thể nói lục địa đen đã bị bỏ quên nặng nề dưới trào tổng thống Donald Trump và đó là cơ hội để Nga và Trung Quốc gia tăng ảnh hưởng,NEI,Supported,False,Tương đồng từ vựng cao (Overfitting lexical overlap),,Câu phát biểu trùng nhiều từ khóa với bằng chứng nhưng thiếu thông tin xác minh quyết định.,
1215,"Ngày 28/3, quân đội Nga đã gây ra nhiều thiệt hại về người và vật chất cho Ukraine tại vùng Donetsk.","Cũng trong ngày 28/3, quân đội Nga tuyên bố đã gây ra nhiều tổn thất cho Ukraine tại vùng Donetsk.",NEI,Supported,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
