config,source_row,statement_raw,statement_processed,evidence_raw,evidence_processed,model_text
P1_clean_segment,0,"Phó Thủ tướng Trần Hồng Hà thay mặt Chính phủ, Thủ tướng Chính phủ chúc mừng Đài Truyền hình Việt Nam, Đài truyền hình các tỉnh, thành phố trên cả nước, các đơn vị sản xuất truyền hình và TP. Hải Phòng sau 2 năm gián đoạn do đại dịch COVID-19 đã tổ chức rất thành công sự kiện quan trọng này.","Phó Thủ_tướng Trần_Hồng_Hà thay_mặt Chính_phủ , Thủ_tướng Chính_phủ chúc_mừng Đài_Truyền_hình Việt_Nam , Đài_truyền_hình các tỉnh , thành_phố trên cả nước , các đơn_vị sản_xuất truyền_hình và TP. Hải_Phòng sau 2 năm gián_đoạn do đại_dịch COVID-19 đã tổ_chức rất thành_công sự_kiện quan_trọng này .","Thay mặt Chính phủ, Thủ tướng Chính phủ, Phó Thủ tướng Trần Hồng Hà chúc mừng Đài Truyền hình Việt Nam, Đài truyền hình các tỉnh, thành phố trên cả nước, các đơn vị sản xuất truyền hình và TP. Hải Phòng đã tổ chức rất thành công sự kiện quan trọng này sau 2 năm gián đoạn do đại dịch COVID-19.","Thay_mặt Chính_phủ , Thủ_tướng Chính_phủ , Phó Thủ_tướng Trần_Hồng_Hà chúc_mừng Đài_Truyền_hình Việt_Nam , Đài_truyền_hình các tỉnh , thành_phố trên cả nước , các đơn_vị sản_xuất truyền_hình và TP. Hải_Phòng đã tổ_chức rất thành_công sự_kiện quan_trọng này sau 2 năm gián_đoạn do đại_dịch COVID-19 .","Phó Thủ_tướng Trần_Hồng_Hà thay_mặt Chính_phủ , Thủ_tướng Chính_phủ chúc_mừng Đài_Truyền_hình Việt_Nam , Đài_truyền_hình các tỉnh , thành_phố trên cả nước , các đơn_vị sản_xuất truyền_hình và TP. Hải_Phòng sau 2 năm gián_đoạn do đại_dịch COVID-19 đã tổ_chức rất thành_công sự_kiện quan_trọng này . Thay_mặt Chính_phủ , Thủ_tướng Chính_phủ , Phó Thủ_tướng Trần_Hồng_Hà chúc_mừng Đài_Truyền_hình Việt_Nam , Đài_truyền_hình các tỉnh , thành_phố trên cả nước , các đơn_vị sản_xuất truyền_hình và TP. Hải_Phòng đã tổ_chức rất thành_công sự_kiện quan_trọng này sau 2 năm gián_đoạn do đại_dịch COVID-19 ."
P1_clean_segment,1,"Hành vi của Tô Văn Hải là cho phép người khác đổ chất thải rắn ra môi trường vàchôn, lấp chất thải trái phép.","Hành_vi của Tô_Văn_Hải là cho_phép người khác đổ chất_thải rắn ra môi_trường vàchôn , lấp chất_thải trái_phép .","Tô Văn Hải đã có hành vi cho phép người khác đổ, thải chất thải rắn thông thường ra môi trường Giáo). Sau đó, Hải tiến hành chôn, lấp tổng khối lượng 642.070 kg chất thải mà không được cơ quan nhà nước có thẩm quyền cho phép.","Tô_Văn_Hải đã có hành_vi cho_phép người khác đổ , thải chất_thải rắn thông_thường ra môi_trường_Giáo ) . Sau đó , Hải tiến_hành chôn , lấp tổng khối_lượng 642.070 kg chất_thải mà không được cơ_quan nhà_nước có thẩm_quyền cho_phép .","Hành_vi của Tô_Văn_Hải là cho_phép người khác đổ chất_thải rắn ra môi_trường vàchôn , lấp chất_thải trái_phép . Tô_Văn_Hải đã có hành_vi cho_phép người khác đổ , thải chất_thải rắn thông_thường ra môi_trường_Giáo ) . Sau đó , Hải tiến_hành chôn , lấp tổng khối_lượng 642.070 kg chất_thải mà không được cơ_quan nhà_nước có thẩm_quyền cho_phép ."
P1_clean_segment,2,"SAWACO thông báo tạm ngưng cung cấp nước để thực hiện công tác bảo trì, bảo dưỡng định kỳ Nhà máy nước Tân Hiệp, thời gian thực hiện dự kiến từ 12 giờ ngày 25-3 (thứ bảy) đến 4 giờ ngày 26-3 (chủ nhật).","SAWACO thông_báo tạm ngưng cung_cấp nước để thực_hiện công_tác bảo_trì , bảo_dưỡng định_kỳ Nhà_máy nước Tân_Hiệp , thời_gian thực_hiện dự_kiến từ 12 giờ ngày 25-3 ( thứ_bảy ) đến 4 giờ ngày 26-3 ( chủ_nhật ) .",SAWACO thông báo tạm ngưng cung cấp nước để thực hiện công tác nêu trên. Thời gian thực hiện dự kiến từ 22 giờ ngày 25-3 (thứ bảy) đến 4 giờ ngày 26-3 (chủ nhật).,SAWACO thông_báo tạm ngưng cung_cấp nước để thực_hiện công_tác nêu trên . Thời_gian thực_hiện dự_kiến từ 22 giờ ngày 25-3 ( thứ_bảy ) đến 4 giờ ngày 26-3 ( chủ_nhật ) .,"SAWACO thông_báo tạm ngưng cung_cấp nước để thực_hiện công_tác bảo_trì , bảo_dưỡng định_kỳ Nhà_máy nước Tân_Hiệp , thời_gian thực_hiện dự_kiến từ 12 giờ ngày 25-3 ( thứ_bảy ) đến 4 giờ ngày 26-3 ( chủ_nhật ) . SAWACO thông_báo tạm ngưng cung_cấp nước để thực_hiện công_tác nêu trên . Thời_gian thực_hiện dự_kiến từ 22 giờ ngày 25-3 ( thứ_bảy ) đến 4 giờ ngày 26-3 ( chủ_nhật ) ."
P1_clean_segment,3,"CLB luôn chuẩn bị rất kỹ lưỡng, chỉn chu chương trình lớn nhất trong năm, tuy nhiên vẫn gặp không ít thử thách chẳng hạn như NABC mùa 4 còn 10 ngày nữa là diễn ra nhưng quỹ nguyên góp không đủ, do đợt này đang trong mùa dịch nên kinh tế bị hạn chế.","CLB luôn chuẩn_bị rất kỹ_lưỡng , chỉn chu_chương_trình lớn nhất trong năm , tuy_nhiên vẫn gặp không ít thử_thách chẳng_hạn như NABC mùa 4 còn 10 ngày nữa là diễn ra nhưng quỹ nguyên_góp không đủ , do đợt này đang trong mùa dịch nên kinh_tế bị hạn_chế .","Là chương trình lớn nhất của CLB trong năm nên mọi thứ được chuẩn bị rất kỹ lưỡng, chỉn chu và cũng không ít lần gặp thử thách NABC mùa 4 gây quỹ không đủ khi chỉ còn cách ngày diễn ra sự kiện là 10 ngày.","Là chương_trình lớn nhất của CLB trong năm nên mọi thứ được chuẩn_bị rất kỹ_lưỡng , chỉn_chu và cũng không ít lần gặp thử_thách NABC mùa 4 gây quỹ không đủ khi chỉ còn cách ngày diễn ra sự_kiện là 10 ngày .","CLB luôn chuẩn_bị rất kỹ_lưỡng , chỉn chu_chương_trình lớn nhất trong năm , tuy_nhiên vẫn gặp không ít thử_thách chẳng_hạn như NABC mùa 4 còn 10 ngày nữa là diễn ra nhưng quỹ nguyên_góp không đủ , do đợt này đang trong mùa dịch nên kinh_tế bị hạn_chế . Là chương_trình lớn nhất của CLB trong năm nên mọi thứ được chuẩn_bị rất kỹ_lưỡng , chỉn_chu và cũng không ít lần gặp thử_thách NABC mùa 4 gây quỹ không đủ khi chỉ còn cách ngày diễn ra sự_kiện là 10 ngày ."
P1_clean_segment,4,"ILA tiếp nhận và hỗ trợ học sinh miễn phí, Bé được tham gia kiểm tra trình độ đầu vào, điểm đầu vào từ 20 điểm được học, tư vấn xếp lớp rất nhanh chóng và nhiệt tình.","ILA tiếp_nhận và hỗ_trợ học_sinh miễn_phí , Bé được tham_gia kiểm_tra trình_độ đầu_vào , điểm đầu_vào từ 20 điểm được học , tư_vấn xếp lớp rất nhanh_chóng và nhiệt_tình .","Bé được tham gia kiểm tra trình độ đầu vào, tư vấn xếp lớp rất nhanh chóng và nhiệt tình ILA tiếp nhận và hỗ trợ học sinh miễn phí","Bé được tham_gia kiểm_tra trình_độ đầu_vào , tư_vấn xếp lớp rất nhanh_chóng và nhiệt_tình ILA tiếp_nhận và hỗ_trợ học_sinh miễn_phí","ILA tiếp_nhận và hỗ_trợ học_sinh miễn_phí , Bé được tham_gia kiểm_tra trình_độ đầu_vào , điểm đầu_vào từ 20 điểm được học , tư_vấn xếp lớp rất nhanh_chóng và nhiệt_tình . Bé được tham_gia kiểm_tra trình_độ đầu_vào , tư_vấn xếp lớp rất nhanh_chóng và nhiệt_tình ILA tiếp_nhận và hỗ_trợ học_sinh miễn_phí"
P1_clean_segment,5,"Để cảm ơn khi ai đó dành cho ta một lời khen, mở cửa cho mình, hay giúp mình một việc gì đó thì câu nói đơn giản nhất là ""thank you"".","Để cảm_ơn khi ai đó dành cho ta một lời khen , mở_cửa cho mình , hay giúp mình một việc gì đó thì câu nói đơn_giản nhất là "" thank you "" .","Để cảm ơn, câu nói đơn giản nhất là ""thank you"" khi ai đó dành cho ta một lời khen, mở cửa cho mình, hay giúp mình một việc gì đó.","Để cảm_ơn , câu nói đơn_giản nhất là "" thank_you "" khi ai đó dành cho ta một lời khen , mở_cửa cho mình , hay giúp mình một việc gì đó .","Để cảm_ơn khi ai đó dành cho ta một lời khen , mở_cửa cho mình , hay giúp mình một việc gì đó thì câu nói đơn_giản nhất là "" thank you "" . Để cảm_ơn , câu nói đơn_giản nhất là "" thank_you "" khi ai đó dành cho ta một lời khen , mở_cửa cho mình , hay giúp mình một việc gì đó ."
P1_clean_segment,6,Lý Hoàng Nam đã chơi tự tin để quân bình tỉ số 4-4 dù Siddharth đã sớm bẻ break để dẫn trước tới 4-1.,Lý_Hoàng_Nam đã chơi tự_tin để quân_bình tỉ_số 4-4 dù Siddharth đã sớm bẻ_break để dẫn trước tới 4-1 .,Siddharth đã sớm bẻ break để dẫn trước tới 4-2. Nhưng Hoàng Nam đã chơi tự tin để làm điều tương tự và quân bình tỉ số 4-4.,Siddharth đã sớm bẻ_break để dẫn trước tới 4-2 . Nhưng Hoàng_Nam đã chơi tự_tin để làm điều tương_tự và quân_bình tỉ_số 4-4 .,Lý_Hoàng_Nam đã chơi tự_tin để quân_bình tỉ_số 4-4 dù Siddharth đã sớm bẻ_break để dẫn trước tới 4-1 . Siddharth đã sớm bẻ_break để dẫn trước tới 4-2 . Nhưng Hoàng_Nam đã chơi tự_tin để làm điều tương_tự và quân_bình tỉ_số 4-4 .
P1_clean_segment,7,Chủ tịch VFF Trần Quốc Tuấn chức mừng HLV Philippe Troussier tại buổi họp báo ngày 20/2.,Chủ_tịch VFF Trần_Quốc_Tuấn_chức mừng_HLV Philippe_Troussier tại buổi họp_báo ngày 20/2 .,Chủ tịch VFF Trần Quốc Tuấn chức mừng HLV Philippe Troussier,Chủ_tịch VFF Trần_Quốc_Tuấn_chức mừng_HLV Philippe Troussier,Chủ_tịch VFF Trần_Quốc_Tuấn_chức mừng_HLV Philippe_Troussier tại buổi họp_báo ngày 20/2 . Chủ_tịch VFF Trần_Quốc_Tuấn_chức mừng_HLV Philippe Troussier
P1_clean_segment,8,"Không gian ""Văn hóa ẩm thực"" giới thiệu các món ăn truyền thống của Việt Nam.","Không_gian "" Văn_hóa ẩm_thực "" giới_thiệu các món ăn truyền_thống của Việt_Nam .","Không gian ""Văn hóa ẩm thực"": Giới thiệu những món ăn đặc trưng của các miền, các món ăn ngon của các nước bạn","Không_gian "" Văn_hóa ẩm_thực "" : Giới_thiệu những món ăn đặc_trưng của các miền , các món ăn ngon của các nước bạn","Không_gian "" Văn_hóa ẩm_thực "" giới_thiệu các món ăn truyền_thống của Việt_Nam . Không_gian "" Văn_hóa ẩm_thực "" : Giới_thiệu những món ăn đặc_trưng của các miền , các món ăn ngon của các nước bạn"
P1_clean_segment,9,Trường tiểu học ở Việt Nam đã áp dụng phương pháp LTP trong việc tiếp cận mới về việc học của học sinh và phương pháp này đã được lồng ghép vào chương trình giảng dạy quốc gia như thế nào.,Trường tiểu_học ở Việt_Nam đã áp_dụng phương_pháp LTP trong việc tiếp_cận mới về việc học của học_sinh và phương_pháp này đã được lồng_ghép vào chương_trình giảng_dạy quốc_gia như_thế_nào .,"Không chỉ là trò chơi và các hoạt động vui chơi, những hoạt động ""Học thông qua chơi"" (HTQC) là sự lĩnh hội một cách tiếp cận mới về việc học của học sinh bộ tài liệu gồm 2 quyển: Giáo viên có thể tải miễn phí bộ tài liệu về Học thông qua Chơi VVOB Bộ GD-ĐT thẩm định và thông qua bộ tài liệu này vào năm 2021","Không_chỉ là trò_chơi và các hoạt_động vui_chơi , những hoạt_động "" Học thông_qua chơi "" ( HTQC ) là sự lĩnh_hội một_cách tiếp_cận mới về việc học của học_sinh bộ tài_liệu gồm 2 quyển : Giáo_viên có_thể tải miễn_phí bộ tài_liệu về Học thông_qua Chơi VVOB Bộ GD-ĐT thẩm_định và thông_qua bộ tài_liệu này vào năm 2021","Trường tiểu_học ở Việt_Nam đã áp_dụng phương_pháp LTP trong việc tiếp_cận mới về việc học của học_sinh và phương_pháp này đã được lồng_ghép vào chương_trình giảng_dạy quốc_gia như_thế_nào . Không_chỉ là trò_chơi và các hoạt_động vui_chơi , những hoạt_động "" Học thông_qua chơi "" ( HTQC ) là sự lĩnh_hội một_cách tiếp_cận mới về việc học của học_sinh bộ tài_liệu gồm 2 quyển : Giáo_viên có_thể tải miễn_phí bộ tài_liệu về Học thông_qua Chơi VVOB Bộ GD-ĐT thẩm_định và thông_qua bộ tài_liệu này vào năm 2021"
