source_row,statement,evidence,label_name,predicted_label,is_correct,error_type,gold_label_explanation,baseline_failure_reason,suggested_adjustment
722,Do mặt hàng dầu mazut giảm quá mạnh nên đã được tăng trích từ 0 đồng lên 300 đồng/lít.,riêng mặt hàng dầu mazut tăng trích từ 0 đồng lên 300 đồng/lít.,NEI,Refuted,False,,,,
1083,Những người có tiền sử gia đình mắc bệnh ung thư gan sẽ có nguy cơ mắc bệnh thấp hơn.,"còn có một số yếu tố nguy cơ khác như nhiễm độc tố Alfatoxin, Dioxin, bệnh gan di truyền, bệnh gan nhiễm mỡ, béo phì, đái tháo đường, uống nhiều rượu…",NEI,Refuted,False,,,,
343,"Đây cũng là năm đầu tiên Báo Thể thao và Văn hóa áp dụng công nghệ Blockchain vào công tác tổ chức và phát hành những NFT, tài sản ảo đại diện cho những hình ảnh, video clip độc bản, video độc quyền của những đề cử và của Giải thưởng Cống hiến”, ông Lê Xuân Thành cho biết.","Đây cũng là năm đầu tiên Báo Thể thao và Văn hóa áp dụng công nghệ Blockchain vào công tác tổ chức và phát hành những NFT, tài sản ảo đại diện cho những hình ảnh, video clip độc bản của những đề cử và của Giải thưởng Cống hiến”, ông Lê Xuân Thành cho biết.",NEI,Refuted,False,,,,
570,"Chánh văn phòng Trung tâm Đào tạo - Chỉ đạo tuyến, Bệnh viện Phụ sản Trung ương TP.HCM- ThS.BS Phan Chí Thành cho biết gia đình xin bác sĩ thuốc ""hãm"" vì cụ ông ngoài 60 vẫn thèm chuyện ấy.","ThS.BS Phan Chí Thành - Chánh văn phòng Trung tâm Đào tạo - Chỉ đạo tuyến, Bệnh viện Phụ sản Trung ương Gia đình xin bác sĩ thuốc ""hãm"" vì cụ ông ngoài 60 vẫn thèm chuyện ấy",NEI,Refuted,False,,,,
932,"Trong cấu trúc doanh thu Phúc Long, doanh thu từ trà chiếm tỷ lệ cao nhất, đứng nhì là cà phê, đứng thứ ba là sữa.","Trong cấu trúc doanh thu Phúc Long, doanh thu từ trà chiếm hơn 70% nhờ thương hiệu được yêu thích.",NEI,Refuted,False,,,,
1377,Bản sao của bộ xương hóa thách được tìm thấy sau khoảng 10 năm khai quật.,"bản sao bộ xương hóa thạch của một trong 6 con titanosaur được tìm thấy sau khi một nông dân ở vùng Argentina phát hiện ra một xương đùi khổng lồ nhô ra khỏi mặt đất vào năm 2010, dẫn đến quá trình khai quật kéo dài nhiều năm.",NEI,Refuted,False,,,,
833,"Sau khi nhận tem máy từ Liều, ông Chín đục lại số máy trên máy cũ thành số máy mới bằng cách sử dụng công nghệ hiện đại học từ nước ngoài.","Sau khi nhận tem máy từ Liều, ông Chín đục lại số máy trên máy cũ thành số máy mới,",NEI,Refuted,False,,,,
1153,"Bắt đầu từ ngày 18/3 đến hết ngày 20/5, công an sẽ mở cao điểm cấp Căn căn cước công dân gắn chíp kết hợp cấp tài khoản định danh điện tử cho toàn bộ công dân trong độ tuổi sinh năm 2004, 2005, 2007, 2008 thi tuyển sinh ngày 1/7/2023 chưa được cấp Căn cước công dân gắn chíp điện tử.","bắt đầu từ ngày 18/3 đến hết ngày 20/5, công an sẽ mở cao điểm cấp Căn căn cước công dân gắn chíp kết hợp cấp tài khoản định danh điện tử cho toàn bộ công dân trong độ tuổi thi tuyển sinh năm 2023 chưa cấp Căn cước công dân gắn chíp điện tử bộ công dân sinh năm 2004, 2005, 2007, 2008. Cụ",NEI,Refuted,False,,,,
1370,"Trong các phương thức xét tuyển thì chỉ tiêu cho đánh giá năng lực là nhiều nhất, hơn 40% tổng chỉ tiêu tuyển sinh của trường.","Các phương thức tuyển sinh của Đại học Quốc gia Hà Nội cơ bản ổn định, gồm xét theo điểm thi tốt nghiệp THPT; xét bằng điểm thi đánh giá năng lực; bằng các kỳ thi, chứng chỉ quốc tế kết hợp với học bạ; xét tuyển học sinh các trường chuyên, THPT thuộc Đại học Quốc gia Hà Nội. Theo ông Đức, chỉ tiêu xét tuyển từ điểm thi đánh giá năng lực có thể tăng lên so với mức 20% của năm 2022.",NEI,Refuted,False,,,,
128,"Gần 11.400 máy tính bảng được Chủ tịch nước trao tặng học sinh vùng sâu, vùng xa trong tỉnh Kon Tum vào chiều 7/3.","Gần 11.400 máy tính bảng được trao tặng học sinh vùng sâu, vùng xa trong tỉnh Kon Tum vào chiều 7/3.",NEI,Refuted,False,,,,
1206,Bộ GD&ĐT vừa ra quyết định về việc điều chỉnh liên kết tổ chức thi cấp chứng chỉ tiếng Anh IELTS vào ngày 6/7 vừa qua.,Bộ GD&ĐT vừa ra quyết định về việc điều chỉnh liên kết tổ chức thi cấp chứng chỉ tiếng Anh IELTS,NEI,Supported,False,,,,
426,"Trước khi có cơ sở chính thức ở quận 1, Trường Trưng Vương tạm tổ chức các hoạt động dạy và học tại Trường Gia Long do quyết định của quan chức cấp cao thời đó.","Trong khi chưa có cơ sở học chính thức, Trường Trưng Vương tạm tổ chức các hoạt động dạy và học tại Trường Gia Long Trường Nữ Trung Học Trưng Vương chính thức được chuyển về số 3 đường Nguyễn Bỉnh Khiêm, Q.1",NEI,Supported,False,,,,
1250,Phó Thủ tướng Lê Minh Khái và Bí thư thứ nhất Trung ương Đoàn Bùi Quang Huy đã trao cúp vô địch cho đội Đại học Huế và giải Nhì cho ĐH Thủy Lợi.,Phó Thủ tướng Lê Minh Khái và Bí thư thứ nhất Trung ương Đoàn Bùi Quang Huy đã trao cúp vô địch cho đội Đại học Huế,NEI,Supported,False,,,,
