claim_id,claim_index,statement,retrieved_evidence,gold_label,predicted_label,is_correct
dev_1947,1947,"Công ty TNHH Mua bán nợ DSP, địa chỉ 91 Pasteur, phường Bến Nghé, quận 1, TP HCM mua các khoản nợ mà khách hàng đã vay.","Công an TP HCM khám xét Công ty Mirae Asset Cảnh sát xác định Công ty TNHH Mua bán nợ DSP, địa chỉ: Tầng 4, Chung cư Lữ Gia, số 70 Lữ Gia, phường 15, quận 11, TP HCM, mua các khoản nợ mà khách hàng đã vay của Công ty Tài chính TNHH MTV Mirae Asset Việt Nam (Mã số doanh nghiệp: 0311132506; địa chỉ 91 Pasteur, phường Bến Nghé, quận 1, TP HCM) và một số tổ chức tín dụng khác nhưng không có khả năng trả.",Refuted,Supported,False
dev_6753,6753,"Bởi được sinh ra trong thời đại công nghệ nên những người trẻ thuộc thế hệ này bên cạnh khả năng thích nghi linh hoạt với công nghệ mới, thì còn có nguy cơ dễ phụ thuộc vào công nghệ nếu không sử dụng dúng cách.","Tuy nhiên, thạc sĩ Quỳnh Anh lưu ý: ""Những người trẻ của thế hệ này có nguy cơ dễ dàng phụ thuộc vào công nghệ nếu không được giáo dục cách sử dụng nó một cách hợp lý.",Supported,NEI,False
dev_1591,1591,"Dù các quy định biên chế cứng, nhưng TP.HCM vẫn có nhiều giải pháp giải quyết các mối trăn trở, và chính quyền đã cố gắng giảm bớt gánh nặng, tập trung nguồn lực cho những đề xuất mới, chủ trương mới trước yêu cầu của mô hình chính quyền đô thị.","Với đề xuất này, chính quyền đô thị TP.HCM có được một giải pháp ổn thỏa, giảm bớt gánh nặng cho chính quyền; tập trung nguồn lực cho những đề xuất mới, chủ trương mới trước yêu cầu của mô hình chính quyền đô thị.",Refuted,NEI,False
dev_7049,7049,"Mẫu mũ của bệnh nhân được các bác sĩ gửi đến phòng xét nghiệm của trung tâm hợp tác của WHO, sau đó kết quả là nấm chondrostereum purpureum, là nguyên nhân gây ra bệnh bạc lá ở thực vật.","Sau đó, các bác sĩ rút mủ và gửi mẫu đến phòng xét nghiệm của trung tâm hợp tác của Tổ chức Y tế thế giới (WHO) ở Ấn Độ.",Supported,NEI,False
dev_3397,3397,Man Utd chơi không tốt trong trận tứ kết FA Cup với Fulham.,"Ở vòng tứ kết FA Cup, Man Utd đã giành chiến thắng với tỷ số 3-1 trước Fulham.",Supported,NEI,False
dev_1637,1637,Các thông tin về đầu ra của ngành và trường đào tạo ngành được Khôi quan tâm.,"Ngoài muốn biết về đầu ra của ngành, em muốn nhờ các anh, chị tư vấn một trường của Đại học Quốc gia TP HCM để học ngành này.",Supported,NEI,False
dev_2641,2641,Tang lễ tri ân những người hi sinh trong thảm họa có sự tham gia của chủ tịch Raúl Castro và đại tướng Miguel Díaz-Canel diễn ra trong hai ngày 18 và 19/8.,"Những người lính cứu hỏa, binh sĩ và cư dân thành phố Matanzas tiễn đưa và vinh danh những người đã hy sinh trong vụ hỏa hoạn xảy ra tại kho chứa nhiên liệu bên vịnh Matanzas - Ảnh: Granma.cu Bất chấp thời tiết nắng nóng gay gắt, hàng dài những người lính cứu hỏa, binh sĩ và cư dân thành phố Matanzas đã diễu hành chậm rãi để tiễn đưa và vinh danh những người đã hy sinh. Đại tướng Raúl Castro và Chủ tịch Cuba Miguel Díaz-Canel dẫn đầu đội danh dự tang lễ.",Refuted,NEI,False
dev_452,452,"Để đảm bảo tiến độ triển khai thành công, hiệu quả Chương trình phục hồi và phát triển kinh tế - xã hội cần khẩn trương, chủ động triển khai Nghị quyết số 44/2022/QH15 ngày 11/1/2022.","* Để bảo đảm tiến độ triển khai thành công, hiệu quả Chương trình phục hồi và phát triển kinh tế - xã hội, tại Thông báo số 193/TB-VPCP, Phó Thủ tướng Lê Văn Thành cũng đã yêu cầu các bộ, ngành, địa phương khẩn trương, chủ động triển khai các cơ chế, giải pháp đã được quy định rõ trong các Nghị quyết của Quốc hội (số 43/2022/QH15 ngày 11/1/2022 và số 44/2022/QH15 ngày 11/1/2022) và các Nghị quyết của Chính phủ (số 11/NQ-CP ngày 30/1/2022 và số 18/NQ-CP ngày 11/2/2022) bảo đảm tiến độ, chất lượng các dự án thuộc Chương trình phục hồi và phát triển kinh tế - xã hội.",Refuted,Supported,False
dev_3913,3913,"Thời gian nhận hồ sơ đăng ký dự thi các môn năng khiếu đợt 1 để xét tuyển các ngành: kiến trúc, thiết kế đồ hoạ, thiết kế thời trang, thiết kế nội thất, quy hoạch vùng và đô thị, tổ hợp có môn năng khiếu của ngành quản lý thể dục thể thao đã được công bố.","Năm nay, Trường ĐH Tôn Đức Thắng tổ chức cho thí sinh đăng ký dự thi các môn năng khiếu để xét tuyển vào ĐH đối với các ngành: kiến trúc, thiết kế đồ hoạ, thiết kế thời trang, thiết kế nội thất, quy hoạch vùng và đô thị, tổ hợp có môn năng khiếu của ngành quản lý thể dục thể thao theo 4 phương thức xét tuyển.",Supported,NEI,False
dev_4418,4418,Việc hoạch định kế hoạch tài chính càng sớm càng có lợi thế mặc dù thời gian tích lũy không phải yếu tố quyết định.,"Điều này cho thấy việc hoạch định kế hoạch tài chính càng sớm sẽ càng có lợi thế, nhất là với đối tượng GenZ bởi nhóm này có nhiều thời gian để thực hiện.",Refuted,NEI,False
