source_row,statement,evidence,label_name,predicted_label,is_correct
2,Đối tượng cố gắng bỏ chạy sau khi lực lượng công an đón dừng xe để kiểm tra.,"Khi lực lượng công an đón dừng xe để kiểm tra, Thành đã tăng tốc độ để bỏ chạy và va chạm với một xe ô tô khác đi ngược chiều",Supported,Refuted,False
7,"Trong phim Everything Everywhere All at Once diễn viên Quan Kế Huy sinh năm 1890, người giành giải diễn viên nam chính xuất sắc nhất nói lời cảm ơn Viện hàn lâm vì giải thưởng vinh dự này.","Diễn viên Quan Kế Huy, người giành giải diễn viên nam phụ xuất sắc nhất trong phim Everything Everywhere All at Once Cảm ơn Viện hàn lâm vì giải thưởng vinh dự này",Refuted,NEI,False
19,Sự việc 2 thanh niên lạ mặt đi xe máy tiếp cận học sinh ở nhiều trường tại Vinh với mục đích bắt cóc chưa được kiểm định chính xác.,"Thông tin chưa được kiểm định chính xác hiện tượng 2 thanh niên lạ mặt đi xe máy, tiếp cận học sinh ở nhiều trường học với ý đồ xấu.",Supported,Refuted,False
21,"Tại họp báo thường kỳ Bộ Ngoại giao chiều 23/3, Phó Phát ngôn Bộ Ngoại giao Phạm Thu Hằng trả lời câu hỏi của phóng viên về việc Việt Nam có sẵn lòng nâng cấp quan hệ với Hoa Kỳ từ quan hệ hiện tại là đối tác toàn diện, lên quan hệ chiến lược hay không.","Phó Phát ngôn Bộ Ngoại giao Phạm Thu Hằng Chiều 23/3, tại họp báo thường kỳ Bộ Ngoại giao, trả lời câu hỏi của phóng viên về việc Việt Nam có sẵn lòng nâng cấp quan hệ với Hoa Kỳ từ quan hệ hiện tại là đối tác toàn diện, lên quan hệ chiến lược hay không",Supported,Refuted,False
29,Khoảng 1/3 tổng số ngoại hành tinh là siêu Trái Đất - đây là thuật ngữ dùng cho những hành tinh nhỏ hơn Trái Đất và nhẹ hơn hành tinh khí khổng lồ.,Khoảng 1/3 tổng số ngoại hành tinh là siêu Trái Đất Siêu Trái Đất là thuật ngữ dùng cho những hành tinh lớn hơn Trái Đất nhưng nhẹ hơn hành tinh khí khổng lồ.,Refuted,Supported,False
35,"Giám đốc tài chính của Victoria's Secret - Timothy Johnson cho biết, quyết định này được đưa ra trong cuộc họp của ban quản lý nhãn hiệu danh tiếng vào tháng 3/2023, theo đó, công ty sẽ dụa trên tiêu chí tiếp thị để rót tiền vào các hoạt động thương mại.","Timothy Johnson - Giám đốc tài chính của Victoria's Secret cho biết Quyết định này được đưa ra trong cuộc họp của ban quản lý nhãn hiệu danh tiếng vào tháng 3/2023. họ sẽ dựa trên tiêu chí tiếp thị để rót tiền vào các hoạt động kinh doanh,",Supported,Refuted,False
42,"Có học sinh của Trường THPT Phú Nhuận bị dụ dỗ, lừa đảo trước cổng trường.","Trường THPT Phú Nhuận có học sinh bị dụ dỗ , lừa đảo trước cổng trường",Supported,Refuted,False
59,Trận đấu tiếp theo của U20 Việt Nam là gặp U20 Iran tại VCK U20 châu Á.,"chúng tôi cần tính toán kỹ lưỡng cho trận đấu với U20 Iran"" Tối 4/3, U20 Việt Nam giành chiến thắng trước Qatar nhờ các pha lập công của Nguyễn Quốc Việt và Nguyễn Văn Trường",Supported,NEI,False
79,"NASA đã công bố bức hình tuyệt đẹp của WR 124 vào ngày 15/3, với hình ảnh ngôi sao này được bao quanh bởi mây khí bụi, là vật chất thoát ra từ ngôi sao già cỗi trong các vụ phóng hỗn loạn và ngẫu nhiên.",Trong bức ảnh tuyệt đẹp được NASA công bố hôm 14/3 Những đám mây khổng lồ này là vật chất thoát ra từ ngôi sao già cỗi trong các vụ phóng hỗn loạn và ngẫu nhiên. WR 124 được bao quanh bởi mây khí bụi,Refuted,Supported,False
80,"Theo thông tin từ Báo Tuổi trẻ Online, vào ngày 20-3, các thủ lĩnh dân quân châu Phi đến từ Cộng hòa Dân chủ Congo, Mali và Uganda đã bị kết án bởi ICC với tội ác chiến tranh và tội ác chống lại loài người. Án phạt từ 9 đến 30 năm tù, bao gồm cả án tù chung thân, đã được đưa ra.","ICC đã kết án 5 đối tượng phạm tội ác chiến tranh và tội ác chống lại loài người, tất cả đều là các thủ lĩnh dân quân châu Phi đến từ Cộng hòa Dân chủ Congo, Mali và Uganda. Những người này nhận án phạt từ 9 đến 30 năm tù. Bản án tối đa là tù chung thân.",NEI,Refuted,False
