source_row,statement,evidence,label_name,predicted_label,is_correct,error_type,gold_label_explanation,failure_reason,suggested_adjustment
1311,"Mặc dù doanh thu giảm 50% so với lúc còn dịch vụ cưỡi voi nhưng đã được đông đảo người dân, du khách hưởng ứng. UBND tỉnh Đắk Lắk phê duyệt khoản viện trợ hỗ trợ của Tổ chức động vật châu Á với tổng giá trị hơn 55,4 tỉ đồng.","Mặc dù doanh thu giảm so với lúc còn dịch vụ cưỡi voi nhưng đã được đông đảo người dân, du khách hưởng ứng. Trước đó, UBND tỉnh Đắk Lắk phê duyệt khoản viện trợ hỗ trợ của Tổ chức động vật châu Á với tổng giá trị hơn 55,4 tỉ đồng",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
722,Do mặt hàng dầu mazut giảm quá mạnh nên đã được tăng trích từ 0 đồng lên 300 đồng/lít.,riêng mặt hàng dầu mazut tăng trích từ 0 đồng lên 300 đồng/lít.,NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
1120,Soyuz MS-22 đã đưa 2 phi hành gia nam của Nga và 1 phi hành gia nữ của Cơ quan hàng không vũ trụ Mỹ (NASA) lên ISS vào tháng 2/2022 và dự kiến đưa các phi hành gia này về Trái Đất.,"Tháng 9/2022, Soyuz MS-22 đã đưa 2 phi hành gia của Nga và 1 phi hành gia của Cơ quan hàng không vũ trụ Mỹ (NASA) lên ISS và dự kiến đưa các phi hành gia này về Trái Đất.",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
753,"Đại sứ quán nên ra sức giúp đỡ, hỗ trợ các Việt bào đang sinh sống tại Nhật, nhất là đối với đối tượng du học sinh.","Đồng thời, Đại sứ quán Việt Nam tại Nhật Bản cần tiếp tục quan tâm, tạo điều hơn nữa đến cộng đồng người Việt, từ các chuyên gia, nhà khoa học đến học sinh, sinh viên, người lao động; luôn đoàn kết, gắn bó, giúp đỡ lẫn nhau, hướng về quê hương, đất nước;",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
270,Offset và Takeoff là họ hàng bên nội và cùng lớn lên bên ngoài thành phố Atlanta – Mỹ.,"Họ có họ hàng với nhau, cùng lớn lên bên ngoài thành phố Atlanta – Mỹ.",NEI,Refuted,False,Tương đồng từ vựng cao (Overfitting lexical overlap),,Câu phát biểu trùng nhiều từ khóa với bằng chứng nhưng thiếu thông tin xác minh quyết định.,
314,"Nguyễn Thị Tâm (xanh) đấu sòng phẳng với Nikhat Zareen. Trong hiệp đấu đầu tiên, Tâm chủ động tấn công, nhưng bị trọng tài phạt thẻ vàng không hợp lý với lỗi xô ngã đối thủ. Kết thúc hiệp 1, Nguyễn Thị Tâm nhận điểm 9 từ 5 trọng tài, trong khi Nikhat Zareen được 10 điểm. Trong hiệp hai, khi đến lượt võ sĩ chủ nhà nhận thẻ vàng, điểm số của Tâm không chênh lệch quá nhiều so với Nikhat Zareen. Tâm có ba điểm 10 và hai điểm 9, trong khi Zareen có ba điểm 10 và hai điểm 9. Trong hiệp đấu thứ 3, Tâm gặp phải sự chơi xấu từ đối thủ và trọng tài không nhận ra. Kết quả, Tâm bị gãy đùi trái và buộc phải bỏ cuộc.","Nguyễn Thị Tâm (xanh) đối đầu sòng phẳng với Nikhat Zareen Ở hiệp đấu đầu tiên, Nguyễn Thị Tâm chủ động tấn công trước Nikhat Zareen nhưng mọi thứ lại đi ngược với ý đồ khi cô bị trọng tài phạt thẻ vàng với lỗi xô ngã đối thủ hết sức vô lý Kết thúc hiệp 1, Nguyễn Thị Tâm được 5 trọng tài cho điểm 9 Nikhat Zareen nhận được đến năm điểm 10 ở hiệp hai khi đến lượt võ sĩ chủ nhà nhận thẻ vàng, tuy vậy, do không thể tung đòn hạ knock-out đối thủ, điểm số mà Nguyễn Thị Tâm nhận được không nhiều hơn bao nhiêu hơn so với Nikhat Zareen với ba điểm 10, hai điểm 9 so với hai điểm 10, ba điểm 9 của Nikhat Zareen",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
1377,Bản sao của bộ xương hóa thách được tìm thấy sau khoảng 10 năm khai quật.,"bản sao bộ xương hóa thạch của một trong 6 con titanosaur được tìm thấy sau khi một nông dân ở vùng Argentina phát hiện ra một xương đùi khổng lồ nhô ra khỏi mặt đất vào năm 2010, dẫn đến quá trình khai quật kéo dài nhiều năm.",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
1191,Bến xe Miền Đông chính thức hoạt động từ tháng 10-2020 và hiện nay có khoảng 150 tuyến xe khách được chủ trương di dời về hoạt động tại đây.,"Trước đó, bến xe Miền Đông mới chính thức hoạt động từ tháng 10-2020 và đến tháng 10-2021 có 120 tuyến xe khách di dời về hoạt động tại đây.",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
504,Cuộc đua xe đạp quy tụ 100 đội đua xe chuyên nghiệp trong nước tham gia.,. Cuộc đua xe đạp Cúp Truyền hình TP.HCM 2023 với slogan “Non sông liền một dải - Niềm tin chiến thắng” quy tụ tất cả đội đua mạnh trên cả nước vốn quen thuộc với làng xe đạp chuyên nghiệp gồm,NEI,Refuted,False,Tương đồng từ vựng cao (Overfitting lexical overlap),,Câu phát biểu trùng nhiều từ khóa với bằng chứng nhưng thiếu thông tin xác minh quyết định.,
80,"Theo thông tin từ Báo Tuổi trẻ Online, vào ngày 20-3, các thủ lĩnh dân quân châu Phi đến từ Cộng hòa Dân chủ Congo, Mali và Uganda đã bị kết án bởi ICC với tội ác chiến tranh và tội ác chống lại loài người. Án phạt từ 9 đến 30 năm tù, bao gồm cả án tù chung thân, đã được đưa ra.","ICC đã kết án 5 đối tượng phạm tội ác chiến tranh và tội ác chống lại loài người, tất cả đều là các thủ lĩnh dân quân châu Phi đến từ Cộng hòa Dân chủ Congo, Mali và Uganda. Những người này nhận án phạt từ 9 đến 30 năm tù. Bản án tối đa là tù chung thân.",NEI,Refuted,False,Số liệu / Thời gian / Định lượng,,"Mô hình nhầm lẫn giữa các con số, mốc thời gian hoặc đơn vị định lượng cụ thể.",
