claim_id,claim_index,statement,evidence,label
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Đến năm 1907, khách sạn đã được chuyển nhượng cho anh em nhà Morin, lấy tên ""Morin Frère"" (khách sạn anh em nhà Morin) và tên gọi Morin gắn liền với lịch sử của khách sạn từ đó đến tận hôm nay. Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. Swore Oath ở khách sạn Saigon Morin năm 2004 TL Trải qua nhiều giai đoạn lịch sử, đến nay, Saigon Morin là khách sạn 4 sao và đang nâng thành 5 sao theo hướng kiến trúc cổ điển độc đáo của miền Trung - Tây nguyên nhằm phát huy giá trị của một khách sạn lâu đời ở Việt Nam (122 năm tuổi), với hệ thống 180 phòng ngủ sang trọng, tiện nghi và hiện đại...",1
dev_5599,5599,"Nhiều chi bộ chỉ mua báo đảng mà không quan tâm đến việc đọc, nghiên cứu và áp dụng các nội dung của báo vào thực tiển nhưng việc công tác mua váo và đọc báo Đảng vẫn đạt hiệu quả cao.","Việc mua, đọc, sử dụng báo, tạp chí của Đảng tại một số chi bộ, đảng bộ chưa đạt hiệu quả cao. Nhiều chi bộ mới chỉ dừng ở việc mua báo đảng, trong khi chưa thực sự quan tâm đến việc đọc, nghiên cứu, áp dụng nội dung báo, đảng vào việc lãnh đạo, chỉ đạo và hoạt động thực tiễn. Bên cạnh đó, chất lượng báo, tạp chí của Đảng đã được nâng cao nhưng hình thức thể hiện vẫn còn khô khan, chưa hấp dẫn, có lúc, có thời điểm thông tin còn chậm.",1
dev_1947,1947,"Công ty TNHH Mua bán nợ DSP, địa chỉ 91 Pasteur, phường Bến Nghé, quận 1, TP HCM mua các khoản nợ mà khách hàng đã vay.","(NLĐO)- Sau khi mua khoản nợ từ Công ty Mirae Asset, các đối tượng Công ty TNHH Mua bán nợ DSP đã nhắn tin, gọi điện chửi bới, đe dọa hoặc cắt ghép ảnh của khách vay, người thân, đồng nghiệp của khách vay vào các hình ảnh đồi trụy rồi đăng lên các trang mạng xã hội để bôi nhọ Ngày 25-3, nguồn tin cho biết Cơ quan Cảnh sát điều tra Công an TP Hà Nội đang điều tra vụ án hình sự Cưỡng đoạt tài sản xảy ra trên địa bàn TP Hà Nội và một số tỉnh, TP trên cả nước. Công an TP HCM khám xét Công ty Mirae Asset Cảnh sát xác định Công ty TNHH Mua bán nợ DSP, địa chỉ: Tầng 4, Chung cư Lữ Gia, số 70 Lữ Gia, phường 15, quận 11, TP HCM, mua các khoản nợ mà khách hàng đã vay của Công ty Tài chính TNHH MTV Mirae Asset Việt Nam (Mã số doanh nghiệp: 0311132506; địa chỉ 91 Pasteur, phường Bến Nghé, quận 1, TP HCM) và một số tổ chức tín dụng khác nhưng không có khả năng trả. Sau khi có các thông tin khách hàng và các thông tin khoản nợ từ Công ty Mirae Asset, các đối tượng sử dụng nhiều số điện thoại khác nhau để nhắn tin, gọi điện chửi bới, đe dọa hoặc cắt ghép ảnh của khách vay, người thân, đồng nghiệp của khách vay vào các hình ảnh đồi trụy, các thông tin không đúng sự thật rồi đăng lên các trang mạng xã hội để bôi nhọ, gây sức ép buộc người vay phải trả tiền.",1
dev_6753,6753,"Bởi được sinh ra trong thời đại công nghệ nên những người trẻ thuộc thế hệ này bên cạnh khả năng thích nghi linh hoạt với công nghệ mới, thì còn có nguy cơ dễ phụ thuộc vào công nghệ nếu không sử dụng dúng cách.","Đồng thời, họ có xu hướng tiếp cận các nền tảng trực tuyến và học tập thông qua những ứng dụng và nền tảng trực tuyến hơn…"". Tuy nhiên, thạc sĩ Quỳnh Anh lưu ý: ""Những người trẻ của thế hệ này có nguy cơ dễ dàng phụ thuộc vào công nghệ nếu không được giáo dục cách sử dụng nó một cách hợp lý. Họ còn dễ dàng bị mất kết nối với thế giới thực, không sẵn sàng mở mình đón nhận những thứ bên ngoài, đánh mất mình trong một góc của chính các bạn...",0
dev_4933,4933,Sức chứa của hệ thống kho khí hóa lỏng (LPG) của cả nước hiện tại có 10 kho dung tích 10.000 m3 nhưng chưa có kho được đưa vào hoạt động.,"Một số cơ sở vật chất được thiết kế theo các tiêu chuẩn cũ đã không đáp ứng được các tiêu chuẩn hiện tại, cần cải tạo, sửa chữa nhiều để đảm bảo phù hợp với yêu cầu thực tế và bảo đảm an toàn cho quá trình vận hành. Sức chứa của hệ thống kho khí hóa lỏng (LPG) còn hạn chế. Hiện cả nước chỉ có 10 kho có dung tích từ 10.000 m3 trở lên và chưa có kho khí thiên nhiên hóa lỏng (LNG) được đưa vào hoạt động. Việc xây dựng mới các tuyến ống dẫn khí từ kho khí LNG đến các hộ tiêu thụ cũng gặp nhiều khó khăn do khi quy hoạch các khu công nghiệp chưa dành hành lang cho tuyến ống dẫn khí đốt.",0
dev_4483,4483,Người dân có thể tra cứu thông tin trên nhiều kênh miễn phí của BHXH Việt Nam sau khi dừng cung cấp dịch vụ tin nhắn tra cứu qua đầu số 8079.,"(PLO)- Sau khi dừng cung cấp dịch vụ tin nhắn tra cứu qua đầu số 8079, người dân có thể tra cứu thông tin trên nhiều kênh miễn phí của BHXH Việt Nam. Ngày 3-3, BHXH Việt Nam cho biết sẽ dừng triển khai tin nhắn tra cứu đến đầu số 8079, gồm các tin nhắn tra cứu sau: “Tra cứu thời gian tham gia BHXH”, “Tra cứu thời hạn sử dụng thẻ BHYT”,“Tra cứu hồ sơ đã nộp, tình trạng hồ sơ”, “Tra cứu lại mật khẩu...”.",0
dev_3857,3857,"Tháng 10/2020, một nữ sinh THPT tại tỉnh Bắc Gyeongsang đã đệ đơn lên cơ quan chức năng, đề cập đến tình trạng áp lực về thời gian học quá nhiều và tác động tiêu cực đến sức khỏe của mình. Sau khi tiếp nhận đơn từ nữ sinh, cơ quan này đã khuyến nghị các trường cần thay đổi chính sách về giờ học của học sinh, nhằm giảm bớt áp lực và đảm bảo sự cân bằng giữa học tập và sức khỏe.","""Chọn kiểu tóc nào là một phần của quyền tự quyết và nó phải được đảm bảo như một quyền cơ bản của con người"", Giám đốc Văn phòng Cho Hee-Yoen nói vào thời điểm đó. Tháng 10/2022, một nữ sinh THPT tại tỉnh Bắc Gyeongsang đã đệ đơn lên cơ quan chức năng, cho rằng các quy định liên quan đến tóc mà trường đặt ra vi phạm quyền tự do của em. Cơ quan này sau đó khuyến nghị các trường cần thay đổi các chính sách về tóc của học sinh. Nhiều trường học Trung Quốc cũng áp dụng các quy định tương tự.",1
dev_1472,1472,Bồ Đào Nha là một quốc gia có rất ít lịch sử và văn hóa.,"Đan xen truyền thống và hiện đại Hành trình của tôi có 2 điểm đến: Lisbon - thủ đô Bồ Đào Nha và thành phố cảng Porto. Lisbon chứa đựng chiều dài lịch sử huy hoàng, biểu tượng thịnh vượng của Bồ Đào Nha. Dù phát triển mạnh mẽ lĩnh vực nghệ thuật và công nghệ song sức mạnh hiện đại hóa không hề lấn át nét cổ kính vốn có ở Lisbon.",1
dev_2652,2652,"Về Đề án phát triển bền vững 1 triệu ha lúa chuyên canh chất lượng cao gắn với tăng trưởng xanh vùng Đồng bằng sông Cửu Long, dự kiến sẽ có 20.000tỷ đồng được đầu tư vào Đề án, trong đó, 3.000 tỷ từ vốn ngân sách nhà nước và 8.400 tỷ vốn xã hội hóa, còn lại là từ các nguồn vốn khác…","Thứ trưởng Bộ NN&PTNT Trần Thanh Nam phát biểu - Ảnh: VGP/Đỗ Hương Tại ""Hội thảo tham vấn các đối tác quốc tế và tổ chức tín dụng trong nước về Đề án phát triển bền vững 1 triệu ha lúa chuyên canh chất lượng cao gắn với tăng trưởng xanh vùng Đồng bằng sông Cửu Long"" diễn ra chiều 29/3, Thứ trưởng Bộ NN&PTNT Trần Thanh Nam cho biết, Bộ đang gấp rút hoàn thiện Dự thảo Đề án trình Thủ tướng Chính phủ trong tháng 4 tới. Dự kiến sẽ có 12.000 tỷ đồng được đầu tư vào Đề án, trong đó, 3.000 tỷ từ vốn ngân sách nhà nước và 8.400 tỷ vốn xã hội hóa, còn lại là từ các nguồn vốn khác… Tại hội thảo, các diễn ra cho rằng vùng lúa chuyên canh chất lượng cao 1 triệu ha có thể được coi là hình mẫu về sản xuất lúa giảm phát thải mà Việt Nam là nước đầu tiên triển khai trên thế giới, qua đó sẽ thu hút sự quan tâm và hỗ trợ của đối tác quốc tế về nguồn lực tài chính, khoa học công nghệ trước những thách thức về biến đổi khí hậu và an ninh lương thực.",1
dev_4172,4172,BTC đã không hoàn tiền vé cho khán giả mua vé.,"Chúng tôi cũng tiếp thu những ý kiến từ phía khán giả. Những ai đã mua vé xem đêm nhạc, có thể liên hệ với chúng tôi để được hoàn tiền 100%"", đại diện BTC cho hay. Trước câu hỏi của PV về việc có phải do sức ép của dư luận về đời tư của ca sĩ Hiền Hồ khiến đêm nhạc buộc phải hủy, người đại diện này từ chối trả lời.",1
dev_1807,1807,Ngày 30/2 máy bay Airbus A321neo thứ hai cho hãng hàng không trung lưu HK Express đã được Airbus bàn giao thành công.,"Ngày 29.3, Airbus thông báo đã bàn giao thành công máy bay Airbus A321neo đầu tiên cho hãng hàng không giá rẻ HK Express, thành viên thuộc Tập đoàn Cathay Pacific có trụ sở tại Hồng Kông. Đây là máy bay đầu tiên trong tổng số 16 chiếc A321neo sẽ được bàn giao cho HK Express, với màu sơn mới nhất của hãng (màu tím và trắng), cùng các cánh lượn và cánh đuôi của máy bay có biểu tượng hành trình hình chữ “e”. Chiếc Airbus A321neo đầu tiên cho hãng hàng không giá rẻ HK Express AIRBUS A321neo thuộc dòng máy bay A320neo, kết hợp động cơ thế hệ mới và đầu cánh Sharklet giúp tiết kiệm hơn 20% nhiên liệu tiêu thụ và lượng khí thải CO2, cũng như giảm 50% tiếng ồn.",1
dev_3151,3151,"Bà xã Công Lý xin mọi người đừng làm hại gia đình mình, trên trang cá nhân, Ngọc Hà, bà xã NSND Công Lý đã đăng tải bài viết chia sẻ về những sự công kích cũng như những bình luận tiêu cực làm cho gia đình cô vô cùng hoảng sợ.","Tôi tin họ chấm đúng tiêu chí và dễ chia sẻ kinh nghiệm với dàn thí sinh"" – một khán giả bình luận. Bà xã Công Lý xin mọi người đừng chà đạp gia đình mình Trên trang cá nhân, Ngọc Hà, bà xã NSND Công Lý đã đăng tải bài viết chia sẻ về gia đình cũng như những bình luận tiêu cực mà cô và gia đình mình phải chịu. Theo đó, bà xã Công Lý đã kể lại tình hình NSND Công Lý sau hai năm đột quỵ.",2
dev_6449,6449,"Cựu tổng thống Mỹ Donald Trump trong buổi vận động bầu cử đầu tiên tại TP Waco, bang Texas (Mỹ) đã chỉ trích các công tố viên đang điều tra ông, nhằm củng cố vị thế trước cuộc bầu cử sơ bộ của Đảng Cộng hòa vào năm 2024.","(NLĐO) – Trong buổi vận động bầu cử đầu tiên tại TP Waco, bang Texas (Mỹ), cựu tổng thống Mỹ Donald Trump chỉ trích các công tố viên đang điều tra ông, nhằm củng cố vị thế trước cuộc bầu cử sơ bộ của Đảng Cộng hòa vào năm 2024. Phát biểu trước những người ủng hộ tập trung tại sân bay ở TP Waco ngày 25-3, ông Trump khẳng định: ""Ngay từ đầu, đó là một cuộc săn phù thủy và cuộc điều tra giả mạo này đến cuộc điều tra khác"".",0
dev_6290,6290,Tổng mức đầu tư cần thiết cho phát triển nhà ở Hà Nội giai đoạn 2021 - 2030 ước tính khoảng 880 nghìn tỷ đồng.,"Dự báo, giai đoạn 2021 - 2030, nhu cầu về nhà ở của người dân trên địa bàn Thủ đô sẽ cần khoảng 89 triệu mét vuông sàn. Trong đó, nhu cầu nhà ở giai đoạn 2021 - 2025 khoảng 44 triệu mét vuông; giai đoạn 2021 - 2030 là 45 triệu mét vuông. Với mục tiêu đề ra, dự báo nhu cầu vốn đầu tư xây dựng nhà ở giai đoạn này cần khoảng 880.000 tỷ đồng, trong đó vốn ngân sách khoảng 11.700 tỷ đồng. Theo đó, đến năm 2025, TP. Hà Nội sẽ phát triển mới 22,5 triệu mét vuông sàn nhà ở riêng lẻ, khoảng 1,25 triệu mét vuông sàn nhà ở xã hội, khoảng 0,565 triệu mét vuông sàn nhà ở tái định cư, 19,69 triệu mét vuông sàn nhà ở thương mại.",0
