statement,evidence,label_name,predicted_label,error_type,gold_label_explanation,baseline_failure_reason,suggested_adjustment,source_row
Do mặt hàng dầu mazut giảm quá mạnh nên đã được tăng trích từ 0 đồng lên 300 đồng/lít.,riêng mặt hàng dầu mazut tăng trích từ 0 đồng lên 300 đồng/lít.,NEI,Refuted,Không đủ thông tin,"Evidence chỉ xác nhận dầu mazut được tăng mức trích từ 0 lên 300 đồng/lít; không nêu nguyên nhân là do giá giảm quá mạnh. Vì phần nguyên nhân chưa được chứng minh, nhãn đúng là NEI.","Cụm từ về mức trích xuất hiện gần như giống nhau làm mô hình nghiêng sang Refuted, nhưng mô hình không tách được phần sự kiện đã có bằng chứng và phần nguyên nhân bị thêm vào.","Giữ ranh giới rõ giữa Statement và Evidence; thử unigram + bigram và giữ các từ quan hệ như ‘do’, ‘nên’ để mô hình nhận diện phần nguyên nhân.",722
Những người có tiền sử gia đình mắc bệnh ung thư gan sẽ có nguy cơ mắc bệnh thấp hơn.,"còn có một số yếu tố nguy cơ khác như nhiễm độc tố Alfatoxin, Dioxin, bệnh gan di truyền, bệnh gan nhiễm mỡ, béo phì, đái tháo đường, uống nhiều rượu…",NEI,Refuted,Không đủ thông tin,Evidence liệt kê các yếu tố nguy cơ ung thư gan nhưng không nói tiền sử gia đình làm nguy cơ thấp hơn hay cao hơn. Do đó chưa thể xác nhận hoặc bác bỏ phát biểu.,"Mô hình bắt được các từ ‘nguy cơ’, ‘ung thư gan’ rồi suy ra có mâu thuẫn, dù Evidence không đề cập trực tiếp quan hệ với tiền sử gia đình.","Giữ cụm từ đầy đủ bằng bigram; khi báo cáo, ghi rõ đây là giới hạn của TF-IDF vì chỉ dựa mạnh vào từ xuất hiện chung.",1083
"Đây cũng là năm đầu tiên Báo Thể thao và Văn hóa áp dụng công nghệ Blockchain vào công tác tổ chức và phát hành những NFT, tài sản ảo đại diện cho những hình ảnh, video clip độc bản, video độc quyền của những đề cử và của Giải thưởng Cống hiến”, ông Lê Xuân Thành cho biết.","Đây cũng là năm đầu tiên Báo Thể thao và Văn hóa áp dụng công nghệ Blockchain vào công tác tổ chức và phát hành những NFT, tài sản ảo đại diện cho những hình ảnh, video clip độc bản của những đề cử và của Giải thưởng Cống hiến”, ông Lê Xuân Thành cho biết.",NEI,Refuted,Không đủ thông tin,"Evidence xác nhận việc phát hành NFT đại diện cho hình ảnh và video clip độc bản, nhưng không xác nhận chi tiết ‘video độc quyền’. Phần bổ sung này làm mẫu thuộc NEI.",Độ trùng từ rất cao khiến một chi tiết nhỏ bị thêm vào không được mô hình tuyến tính nhận ra.,Dùng bigram và giữ dấu câu; kiểm tra trọng số của các cụm quanh ‘độc quyền’ thay vì chỉ dựa vào độ trùng từ tổng thể.,343
"Chánh văn phòng Trung tâm Đào tạo - Chỉ đạo tuyến, Bệnh viện Phụ sản Trung ương TP.HCM- ThS.BS Phan Chí Thành cho biết gia đình xin bác sĩ thuốc ""hãm"" vì cụ ông ngoài 60 vẫn thèm chuyện ấy.","ThS.BS Phan Chí Thành - Chánh văn phòng Trung tâm Đào tạo - Chỉ đạo tuyến, Bệnh viện Phụ sản Trung ương Gia đình xin bác sĩ thuốc ""hãm"" vì cụ ông ngoài 60 vẫn thèm chuyện ấy",NEI,Refuted,Không đủ thông tin,"Evidence xác nhận chức vụ, tên bác sĩ và nội dung gia đình xin thuốc, nhưng không nêu ‘TP.HCM’. Vì địa điểm bổ sung không được chứng minh, nhãn đúng là NEI.",Hầu hết từ khóa chính đều trùng nên mô hình xem phần địa điểm bổ sung là không đáng kể.,Giữ nguyên tên riêng và dấu câu; dùng bigram để tăng khả năng nhận ra cụm địa điểm và phần thông tin được thêm vào.,570
"Trong cấu trúc doanh thu Phúc Long, doanh thu từ trà chiếm tỷ lệ cao nhất, đứng nhì là cà phê, đứng thứ ba là sữa.","Trong cấu trúc doanh thu Phúc Long, doanh thu từ trà chiếm hơn 70% nhờ thương hiệu được yêu thích.",NEI,Refuted,Không đủ thông tin,"Evidence chỉ nói doanh thu trà chiếm hơn 70%; không cho biết cà phê đứng thứ hai và sữa đứng thứ ba. Vì thứ hạng còn lại thiếu bằng chứng, nhãn đúng là NEI.","Mô hình bị chi phối bởi cụm ‘cấu trúc doanh thu’, ‘Phúc Long’ và ‘trà’, trong khi bỏ qua hai quan hệ xếp hạng không có trong Evidence.","Giữ các từ chỉ thứ hạng và thử bigram như ‘đứng nhì’, ‘đứng thứ’; trình bày đây là lỗi của biểu diễn bag-of-words.",932
Bản sao của bộ xương hóa thách được tìm thấy sau khoảng 10 năm khai quật.,"bản sao bộ xương hóa thạch của một trong 6 con titanosaur được tìm thấy sau khi một nông dân ở vùng Argentina phát hiện ra một xương đùi khổng lồ nhô ra khỏi mặt đất vào năm 2010, dẫn đến quá trình khai quật kéo dài nhiều năm.",NEI,Refuted,Số liệu / thời gian,"Evidence nói bộ xương được phát hiện năm 2010 và quá trình khai quật kéo dài nhiều năm, nhưng không xác nhận con số khoảng 10 năm. Vì thời lượng cụ thể chưa đủ bằng chứng, nhãn đúng là NEI.",Mô hình nhận thấy nội dung khai quật tương tự nhưng không liên kết được mốc năm với khoảng thời gian được suy ra.,"Không xóa số; giữ cụm thời gian và dùng bigram để các biểu thức ‘10 năm’, ‘năm 2010’, ‘nhiều năm’ được biểu diễn rõ hơn.",1377
"Sau khi nhận tem máy từ Liều, ông Chín đục lại số máy trên máy cũ thành số máy mới bằng cách sử dụng công nghệ hiện đại học từ nước ngoài.","Sau khi nhận tem máy từ Liều, ông Chín đục lại số máy trên máy cũ thành số máy mới,",NEI,Refuted,Không đủ thông tin,"Evidence xác nhận ông Chín đục lại số máy sau khi nhận tem, nhưng không nói ông dùng công nghệ hiện đại học từ nước ngoài. Phần phương thức này chưa được chứng minh nên là NEI.","Phần đầu Statement gần như chép lại Evidence, làm các từ bổ sung ở cuối câu bị lấn át.",Giữ dấu câu và bigram; phân tích riêng phần bổ sung sau cụm ‘bằng cách’ khi giải thích lỗi.,833
"Bắt đầu từ ngày 18/3 đến hết ngày 20/5, công an sẽ mở cao điểm cấp Căn căn cước công dân gắn chíp kết hợp cấp tài khoản định danh điện tử cho toàn bộ công dân trong độ tuổi sinh năm 2004, 2005, 2007, 2008 thi tuyển sinh ngày 1/7/2023 chưa được cấp Căn cước công dân gắn chíp điện tử.","bắt đầu từ ngày 18/3 đến hết ngày 20/5, công an sẽ mở cao điểm cấp Căn căn cước công dân gắn chíp kết hợp cấp tài khoản định danh điện tử cho toàn bộ công dân trong độ tuổi thi tuyển sinh năm 2023 chưa cấp Căn cước công dân gắn chíp điện tử bộ công dân sinh năm 2004, 2005, 2007, 2008. Cụ",NEI,Refuted,Số liệu / thời gian,"Evidence có giai đoạn 18/3–20/5 và nhóm năm sinh, nhưng không xác nhận chi tiết kỳ thi diễn ra ngày 1/7/2023. Vì mốc ngày bổ sung thiếu bằng chứng, nhãn đúng là NEI.",Nhiều số và ngày gần nhau làm TF-IDF khó xác định mốc nào thuộc sự kiện nào.,"Giữ nguyên ngày, năm và dấu gạch; thử bigram để gắn mốc thời gian với cụm sự kiện tương ứng.",1153
"Trong các phương thức xét tuyển thì chỉ tiêu cho đánh giá năng lực là nhiều nhất, hơn 40% tổng chỉ tiêu tuyển sinh của trường.","Các phương thức tuyển sinh của Đại học Quốc gia Hà Nội cơ bản ổn định, gồm xét theo điểm thi tốt nghiệp THPT; xét bằng điểm thi đánh giá năng lực; bằng các kỳ thi, chứng chỉ quốc tế kết hợp với học bạ; xét tuyển học sinh các trường chuyên, THPT thuộc Đại học Quốc gia Hà Nội. Theo ông Đức, chỉ tiêu xét tuyển từ điểm thi đánh giá năng lực có thể tăng lên so với mức 20% của năm 2022.",NEI,Refuted,Số liệu / thời gian,Evidence chỉ cho biết chỉ tiêu theo điểm đánh giá năng lực có thể tăng so với mức 20% năm 2022; không xác nhận mức hơn 40% hay đây là chỉ tiêu lớn nhất. Nhãn đúng là NEI.,"Các từ về phương thức xét tuyển trùng nhiều, còn quan hệ so sánh ‘hơn 40%’ và ‘nhiều nhất’ không được mô hình xử lý tốt.","Không xóa số và từ so sánh; dùng bigram cho ‘hơn 40%’, ‘nhiều nhất’, ‘tăng lên’.",1370
"Gần 11.400 máy tính bảng được Chủ tịch nước trao tặng học sinh vùng sâu, vùng xa trong tỉnh Kon Tum vào chiều 7/3.","Gần 11.400 máy tính bảng được trao tặng học sinh vùng sâu, vùng xa trong tỉnh Kon Tum vào chiều 7/3.",NEI,Refuted,Không đủ thông tin,"Evidence xác nhận gần 11.400 máy tính bảng được trao cho học sinh Kon Tum vào 7/3, nhưng không nêu người trao là Chủ tịch nước. Thiếu thông tin về chủ thể nên là NEI.","Số lượng, đối tượng, địa điểm và thời gian đều trùng nên chi tiết chủ thể bị mô hình bỏ qua.",Giữ tên chức danh và bigram; kiểm tra các trường hợp thêm hoặc đổi chủ thể trong tập lỗi.,128
