claim_id,claim_index,sentence_id,sentence_text
dev_6040,6040,dev_6040_s000,"Saigon Morin, khách sạn 4 sao hàng đầu tại Huế, kỷ niệm 122 năm ra đời tối 26.3, là một trong những khách sạn lâu đời nhất Việt Nam với ""bảng vàng"" danh sách các yếu nhân và nguyên thủ quốc gia từng lưu trú."
dev_6040,6040,dev_6040_s001,"Khách sạn có 4 mặt tiền thuộc các giao lộ Lê Lợi - Hùng Vương, Hoàng Hoa Thám - Trương Định (TP.Huế, Thừa Thiên-Huế) bên cạnh cầu Trường Tiền với ""view"" sông Hương thơ mộng, Phó chủ tịch thường trực UBND tỉnh Thừa Thiên-Huế, ông Nguyễn Thanh Bình (phải), trao cờ đơn vị dẫn đầu thi đua có nhiều đóng góp cho du lịch của tỉnh cho ông Trần Văn Lâm, Tổng giám đốc Saigon Morin, tại lễ kỷ niệm 122 năm HƯƠNG GIANG Khách sạn ra đời vào năm 1901 khi ông Henri Bogaert, chủ nhà máy gạch ngói Long Thọ, cho khởi công xây dựng và lấy tên là ""Grand Hotel de Hue""."
dev_6040,6040,dev_6040_s002,"Ngoài việc phục vụ du khách, Saigon Morin còn đảm nhiệm vai trò ""nhà khách"" của Chính phủ Nam triều và Chính phủ bảo hộ, cơ quan Trung kỳ."
dev_6040,6040,dev_6040_s003,"Khách sạn nhanh chóng trở thành trung tâm thương mại, văn hóa và du lịch của kinh đô Huế thời nhà Nguyễn."
dev_6040,6040,dev_6040_s004,"Hình ảnh khách sạn những ngày đầu mới thành lập TƯ LIỆU Năm 1904, sau cơn bão năm Thìn, khách sạn hư hỏng nặng, ông Bogeart đã tu sửa và chuyển sở hữu cho nhà tư sản A.Guerin."
dev_6040,6040,dev_6040_s005,"Đến năm 1907, khách sạn đã được chuyển nhượng cho anh em nhà Morin, lấy tên ""Morin Frère"" (khách sạn anh em nhà Morin) và tên gọi Morin gắn liền với lịch sử của khách sạn từ đó đến tận hôm nay."
dev_6040,6040,dev_6040_s006,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V.
dev_6040,6040,dev_6040_s007,"Swore Oath ở khách sạn Saigon Morin năm 2004 TL Trải qua nhiều giai đoạn lịch sử, đến nay, Saigon Morin là khách sạn 4 sao và đang nâng thành 5 sao theo hướng kiến trúc cổ điển độc đáo của miền Trung - Tây nguyên nhằm phát huy giá trị của một khách sạn lâu đời ở Việt Nam (122 năm tuổi), với hệ thống 180 phòng ngủ sang trọng, tiện nghi và hiện đại..."
dev_6040,6040,dev_6040_s008,"Phu nhân cựu Tổng thống Pháp, bà Bernadette Chirac, lưu trú tại khách sạn vào năm 2004 TL Không chỉ có những sản phẩm và dịch vụ chuyên nghiệp, Saigon Morin còn mang đến cho du khách những trải nghiệm thú vị về lịch sử 122 năm."
dev_6040,6040,dev_6040_s009,"Khi lưu trú, du khách còn có cơ hội chiêm ngưỡng hàng trăm bức tranh, ảnh cổ về lịch sử thành phố Huế từ những năm đầu thế kỷ 20 và về lịch sử 122 năm của khách sạn."
dev_6040,6040,dev_6040_s010,"Với tuổi đời 122 năm, Saigon Morin đã có một bảng vàng danh sách khách VIP từng lưu trú."
dev_6040,6040,dev_6040_s011,"Trong số đó, có vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật vào tháng 4.1936 tại phòng Charlie Chaplin Suite."
dev_6040,6040,dev_6040_s012,"Nơi đây cũng từng đón tiếp và phục vụ nhiều nhân vật nổi tiếng, các nguyên thủ quốc gia trên thế giới như: Thủ tướng Pháp Francois Fillon (năm 2009), Chủ tịch Quốc hội Hàn Quốc Lim Chae Jung (năm 2008), Chủ tịch Quốc hội Na Uy Anne Marit Bjørnflaten (năm 2008), Phu nhân cựu Tổng thống Pháp Madam Bernadette Chirac (năm 2004)..."
dev_6040,6040,dev_6040_s013,"Khách sạn Saigon Morin hiện nay Hương Giang Khách sạn Saigon Morin cũng là địa điểm để tỉnh Thừa Thiên-Huế và các bộ, ngành lựa chọn tổ chức các hội nghị quốc gia, quốc tế..."
dev_6040,6040,dev_6040_s014,"Trong đó, có nhiều sự kiện vinh dự được đón các vị nguyên thủ quốc gia các nước, lãnh đạo Đảng, Nhà nước đến dự và lưu trú."
dev_5599,5599,dev_5599_s000,"(Chinhphu.vn) - Bí thư Trung ương Đảng, Trưởng Ban Tuyên giáo Trung ương Nguyễn Trọng Nghĩa khẳng định, trong thời đại bùng nổ thông tin như hiện nay thì vai trò của báo giấy, của các tờ báo, tạp chí của Đảng vẫn giữ nguyên giá trị, thậm chí có giá trị cao hơn và phải phát huy giá trị ấy."
dev_5599,5599,dev_5599_s001,"Trưởng Ban Tuyên giáo Trung ương Nguyễn Trọng Nghĩa phát biểu chỉ đạo Hội nghị - Ảnh: VGP/Vũ Phong Sáng 10/4, tại TPHCM, Báo Nhân dân, Tạp chí Cộng sản phối hợp với Thành ủy TPHCM và Tổng công ty Bưu điện Việt Nam tổ chức Hội nghị tiếp tục thực hiện Chỉ thị số 11 của Bộ Chính trị về tích cực đổi mới, nâng cao năng lực định hướng, hiệu quả tuyên truyền gắn với việc mua, đọc, làm theo báo, tạp chí của Đảng."
dev_5599,5599,dev_5599_s002,Trưởng Ban Tuyên giáo Trung ương Nguyễn Trọng Nghĩa; Tổng Biên tập Báo Nhân dân Lê Quốc Minh; Phó Bí thư Thành ủy TPHCM Nguyễn Văn Hiếu; Phó Tổng Biên tập Tạp chí Cộng sản Nguyễn Ngọc Hà chủ trì Hội nghị.
dev_5599,5599,dev_5599_s003,"Cùng dự Hội nghị còn có các đại biểu đến từ các ban, bộ, ngành Trung ương; các đồng chí thường trực tỉnh ủy, thành ủy, lãnh đạo ban tuyên giáo, tổng biên tập báo đảng của 32 tỉnh ủy, thành ủy khu vực phía nam."
dev_5599,5599,dev_5599_s004,"Theo Tổng Biên tập Báo Nhân dân Lê Quốc Minh, những năm qua, các báo, tạp chí của Đảng luôn nỗ lực đổi mới, không ngừng nâng cao chất lượng cả về nội dung và hình thức, làm tốt vai trò cơ quan ngôn luận và lý luận chính trị của Đảng, diễn đàn của nhân dân."
dev_5599,5599,dev_5599_s005,"Cùng với đó, phổ biến kịp thời các quan điểm, đường lối của Đảng, chính sách, pháp luật của Nhà nước, góp phần nâng cao trình độ, nhận thức chính trị, tư tưởng của cán bộ, đảng viên, nâng cao dân trí, làm phong phú đời sống tinh thần của nhân dân."
dev_5599,5599,dev_5599_s006,"Các báo, tạp chí của Đảng cũng tích cực đấu tranh chống suy thoái về tư tưởng chính trị, đạo đức, lối sống, những biểu hiện ""tự diễn biến"", ""tự chuyển hóa"" trong nội bộ; đấu tranh chống tiêu cực, tham nhũng, lãng phí; bảo vệ nền tảng tư tưởng của Đảng, phản bác các quan điểm sai trái, thù địch..."
