claim_id,claim_index,statement,retrieved_evidence,gold_label,predicted_label,is_correct,error_type,failure_reason
dev_3747,3747,"Mức điểm đạt của môn tin học là 22,60, cao hơn năm ngoái đến 5 điểm.","Trinh Theo Cục Quản lý chất lượng, Bộ GD-ĐT, thí sinh các môn học được triệu tập tham dự kỳ thi chọn đội tuyển Olympic năm 2023 dự kiến tổ chức trong tháng 4 nếu đạt các mức điểm cụ thể như sau: Môn toán từ 23 điểm trở lên, môn vật lý từ 17,25 trở lên, môn hóa từ 26,625 trở lên, môn sinh từ 26 điểm trở lên, môn tin học từ 22,60 điểm trở lên.",NEI,Refuted,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_963,963,Nguyễn Khôi sắp tốt nghiệp lớp 12 trường THPT Nguyễn Thị Minh Khai.,"Em sắp tốt nghiệp lớp 12, dự định học ngành An toàn thông tin.",NEI,Refuted,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_1218,1218,"Ở tuổi 58, Tấn Beo vẫn đi diễn cùng con trai ở các tỉnh miền Tây, miền Trung","Ở tuổi 58, Tấn Beo vẫn nhận lời mời lưu diễn ở các tỉnh miền Tây, miền Trung.",NEI,Refuted,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_436,436,Chính phủ Trung Quốc đã không đáp lại lời kêu gọi của nhóm SAGO về sự minh bạch trong việc chia sẻ dữ liệu và tiến hành các cuộc điều tra cần thiết.,"“Chúng tôi tiếp tục kêu gọi TQ minh bạch trong việc chia sẻ dữ liệu, tiến hành các cuộc điều tra cần thiết và chia sẻ kết quả điều tra” - ông nói thêm.",NEI,Refuted,False,Phủ định / Đảo ngữ,Bằng chứng chứa quan hệ phủ định nhưng câu đơn lẻ làm mất hướng khẳng định.
dev_6524,6524,"Nguyễn Việt Dũng, thủ khoa Đại học Sư phạm Hà Nội là cử nhân Toán học.",Có thể được giữ lại làm giảng viên nhưng thủ khoa Đại học Sư phạm Hà Nội Nguyễn Việt Dũng về dạy học ở quê vì mong góp sức cho ngôi trường cũ.,NEI,Refuted,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_6853,6853,"Tính đến năm 2019, có 53 trung tâm giam giữ người di cư hoạt động trên khắp Mexico đã bị quá tải.","Tính đến năm 2019, có 53 trung tâm giam giữ người di cư hoạt động trên khắp Mexico với tổng sức chứa chính thức là khoảng 3.000 người, theo báo cáo từ Ủy ban Nhân quyền Mexico.",NEI,Refuted,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_2423,2423,Đội tuyển U20 Việt Nam đã có một khởi đầu rất tốt ở giải đấu này nhưng đáng tiếc là không thể vượt qua vòng loại khi phải đối đầu với đội bóng qua 7 lần tham dự đã từng giành 1 chức Á quân.,"(Chinhphu.vn) - Vào 17h chiều nay (1/3, giờ Việt Nam), ĐT U20 Việt Nam bước vào cuộc so tài đầu tiên tại vòng bảng Cúp Bóng đá U20 châu Á, gặp U20 Australia, đội bóng qua 7 lần tham dự đã từng giành 1 chức Á quân, 2 lần vào bán kết và 2 lần vào tứ kết.",NEI,Refuted,False,Phủ định / Đảo ngữ,Bằng chứng chứa quan hệ phủ định nhưng câu đơn lẻ làm mất hướng khẳng định.
dev_6742,6742,Các cuộc tập trận quân sự do Triều Tiên tiến hành chỉ mang tính chất phòng thủ.,"TPO - Sau khi thị sát một cuộc tập trận, nhà lãnh đạo Triều Tiên Kim Jong Un chỉ đạo quân đội tăng cường diễn tập để chuẩn bị cho “chiến tranh thực sự”, báo chí Triều Tiên đưa tin ngày 9/3.",NEI,Refuted,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_4077,4077,Bộ GD&ĐT vừa có phúc đáp kiến nghị của cử tri Thanh Hóa sau khi phát hiện sự không công bằng trong học bạ.,"Bộ GD&ĐT vừa có phúc đáp kiến nghị của cử tri Thanh Hóa về việc nghiên cứu bỏ việc xét tuyển đại học qua học bạ do đang nảy sinh việc ""làm đẹp"" học bạ và ""chạy điểm"".",NEI,Refuted,False,Phủ định / Đảo ngữ,Bằng chứng chứa quan hệ phủ định nhưng câu đơn lẻ làm mất hướng khẳng định.
dev_6165,6165,"Thổng thống Florida Ron DeSantis, cùng là thành viên Đảng Cộng hòa với ông Trump, chỉ trích rằng quyết định truy tố là ""Vũ khí hóa hệ thống pháp luật để thúc đẩy một chương trình nghị sự chính trị"".","Thống đốc Florida Ron DeSantis, người được coi là đối thủ cạnh tranh hàng đầu của ông Trump cho đề cử của đảng Cộng hòa, chỉ trích rằng quyết định truy tố là ""vũ khí hóa hệ thống pháp luật để thúc đẩy một chương trình nghị sự chính trị"".",NEI,Refuted,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
