claim_id,claim_index,statement,retrieved_evidence,gold_label,predicted_label,is_correct
dev_1947,1947,"Công ty TNHH Mua bán nợ DSP, địa chỉ 91 Pasteur, phường Bến Nghé, quận 1, TP HCM mua các khoản nợ mà khách hàng đã vay.","Công an TP HCM khám xét Công ty Mirae Asset Cảnh sát xác định Công ty TNHH Mua bán nợ DSP, địa chỉ: Tầng 4, Chung cư Lữ Gia, số 70 Lữ Gia, phường 15, quận 11, TP HCM, mua các khoản nợ mà khách hàng đã vay của Công ty Tài chính TNHH MTV Mirae Asset Việt Nam (Mã số doanh nghiệp: 0311132506; địa chỉ 91 Pasteur, phường Bến Nghé, quận 1, TP HCM) và một số tổ chức tín dụng khác nhưng không có khả năng trả.",Refuted,Supported,False
dev_6753,6753,"Bởi được sinh ra trong thời đại công nghệ nên những người trẻ thuộc thế hệ này bên cạnh khả năng thích nghi linh hoạt với công nghệ mới, thì còn có nguy cơ dễ phụ thuộc vào công nghệ nếu không sử dụng dúng cách.","Tuy nhiên, thạc sĩ Quỳnh Anh lưu ý: ""Những người trẻ của thế hệ này có nguy cơ dễ dàng phụ thuộc vào công nghệ nếu không được giáo dục cách sử dụng nó một cách hợp lý.",Supported,NEI,False
dev_4933,4933,Sức chứa của hệ thống kho khí hóa lỏng (LPG) của cả nước hiện tại có 10 kho dung tích 10.000 m3 nhưng chưa có kho được đưa vào hoạt động.,Hiện cả nước chỉ có 10 kho có dung tích từ 10.000 m3 trở lên và chưa có kho khí thiên nhiên hóa lỏng (LNG) được đưa vào hoạt động.,Supported,Refuted,False
dev_4483,4483,Người dân có thể tra cứu thông tin trên nhiều kênh miễn phí của BHXH Việt Nam sau khi dừng cung cấp dịch vụ tin nhắn tra cứu qua đầu số 8079.,"(PLO)- Sau khi dừng cung cấp dịch vụ tin nhắn tra cứu qua đầu số 8079, người dân có thể tra cứu thông tin trên nhiều kênh miễn phí của BHXH Việt Nam.",Supported,Refuted,False
dev_3857,3857,"Tháng 10/2020, một nữ sinh THPT tại tỉnh Bắc Gyeongsang đã đệ đơn lên cơ quan chức năng, đề cập đến tình trạng áp lực về thời gian học quá nhiều và tác động tiêu cực đến sức khỏe của mình. Sau khi tiếp nhận đơn từ nữ sinh, cơ quan này đã khuyến nghị các trường cần thay đổi chính sách về giờ học của học sinh, nhằm giảm bớt áp lực và đảm bảo sự cân bằng giữa học tập và sức khỏe.","Tháng 10/2022, một nữ sinh THPT tại tỉnh Bắc Gyeongsang đã đệ đơn lên cơ quan chức năng, cho rằng các quy định liên quan đến tóc mà trường đặt ra vi phạm quyền tự do của em.",Refuted,NEI,False
dev_6290,6290,Tổng mức đầu tư cần thiết cho phát triển nhà ở Hà Nội giai đoạn 2021 - 2030 ước tính khoảng 880 nghìn tỷ đồng.,"Trong đó, nhu cầu nhà ở giai đoạn 2021 - 2025 khoảng 44 triệu mét vuông; giai đoạn 2021 - 2030 là 45 triệu mét vuông. Với mục tiêu đề ra, dự báo nhu cầu vốn đầu tư xây dựng nhà ở giai đoạn này cần khoảng 880.000 tỷ đồng, trong đó vốn ngân sách khoảng 11.700 tỷ đồng.",Supported,Refuted,False
dev_1591,1591,"Dù các quy định biên chế cứng, nhưng TP.HCM vẫn có nhiều giải pháp giải quyết các mối trăn trở, và chính quyền đã cố gắng giảm bớt gánh nặng, tập trung nguồn lực cho những đề xuất mới, chủ trương mới trước yêu cầu của mô hình chính quyền đô thị.","Với đề xuất này, chính quyền đô thị TP.HCM có được một giải pháp ổn thỏa, giảm bớt gánh nặng cho chính quyền; tập trung nguồn lực cho những đề xuất mới, chủ trương mới trước yêu cầu của mô hình chính quyền đô thị.",Refuted,NEI,False
dev_7049,7049,"Mẫu mũ của bệnh nhân được các bác sĩ gửi đến phòng xét nghiệm của trung tâm hợp tác của WHO, sau đó kết quả là nấm chondrostereum purpureum, là nguyên nhân gây ra bệnh bạc lá ở thực vật.","Sau đó, các bác sĩ rút mủ và gửi mẫu đến phòng xét nghiệm của trung tâm hợp tác của Tổ chức Y tế thế giới (WHO) ở Ấn Độ.",Supported,NEI,False
dev_1637,1637,Các thông tin về đầu ra của ngành và trường đào tạo ngành được Khôi quan tâm.,"Ngoài muốn biết về đầu ra của ngành, em muốn nhờ các anh, chị tư vấn một trường của Đại học Quốc gia TP HCM để học ngành này.",Supported,NEI,False
dev_470,470,Ngày 21/3 Tổng thống Nga Vladimir Putin lên án và tuyên bố Mátxcơva sẽ đáp trả tương xứng về hành động gửi đạn xe tăng chứa urani nghèo cho Ukraine của Anh.,"TPO - Ngày 21/3, Tổng thống Nga Vladimir Putin lên án việc Anh định gửi đạn xe tăng chứa urani nghèo cho Ukraine, tuyên bố Mátxcơva sẽ buộc phải đáp trả tương xứng.",Supported,Refuted,False
