source_row,statement,evidence,label_name,predicted_label,is_correct
1,"Phần vỏ bánh được làm rất công phu, từ giai đoạn xay gạo đến cuốn bánh hết tổng 4 tiếng đồng hồ.","Gạo tẻ ngon được xay nhuyễn bằng cối đá từ xưa, sau đó loại bỏ tạp chất bằng cách lọc qua nước để lấy bột nõn. Đây là công thức từ thời mẹ ông để lại và vẫn được ông duy trì những năm qua. Khách đến gọi mới được phục vụ. Bột tráng bánh được múc theo từng muôi rưới lên mặt nồi hấp, tráng đều rồi đậy vung. Hấp khoảng một phút vỏ bánh vừa chín tới, có độ dai nhẹ. Ông Chính dùng que tre dẹt cuốn lấy vỏ bánh đặt lên đĩa, cho phần nhân đã được xào chín vào rồi cẩn thận cuộn tròn sao cho vỏ không bị rách, cắt đôi và rắc thêm chút hành khô.",NEI,Supported,False
2,Đối tượng cố gắng bỏ chạy sau khi lực lượng công an đón dừng xe để kiểm tra.,"Khi lực lượng công an đón dừng xe để kiểm tra, Thành đã tăng tốc độ để bỏ chạy và va chạm với một xe ô tô khác đi ngược chiều",Supported,Refuted,False
5,"Giảm nhẹ công tác tuyên truyền về phòng, chống dịch cúm gia cầm lây lan sang người để người dân hạn chế tiếp xúc với gia cầm ốm, chết và chất thải từ gia cầm bằng cách Sở Thông tin và Truyền thông phối hợp các sở, ngành, Ủy ban nhân dân các quận huyện, thị xã chỉ đạo thực hiện.","Sở Thông tin và Truyền thông phối hợp các sở, ngành, Ủy ban nhân dân các quận huyện, thị xã chỉ đạo tăng cường công tác tuyên truyền về phòng, chống dịch cúm gia cầm lây lan sang người để người dân hạn chế tiếp xúc với gia cầm ốm, chết và chất thải từ gia cầm",Refuted,NEI,False
7,"Trong phim Everything Everywhere All at Once diễn viên Quan Kế Huy sinh năm 1890, người giành giải diễn viên nam chính xuất sắc nhất nói lời cảm ơn Viện hàn lâm vì giải thưởng vinh dự này.","Diễn viên Quan Kế Huy, người giành giải diễn viên nam phụ xuất sắc nhất trong phim Everything Everywhere All at Once Cảm ơn Viện hàn lâm vì giải thưởng vinh dự này",Refuted,NEI,False
9,"HĐND TP Thủ Dầu Một sẽ tổ chức phiên họp để bầu chức danh Phó Chủ tịch UBND thành phố, cuộc họp sẽ diễn ra vào 17 giờ ngày 30/3 tại Trung tâm Hội nghị tiệc Plaza.","vào ngày 30/3 tới, HĐND TP Thủ Dầu Một sẽ tổ chức phiên họp để bầu chức danh Phó Chủ tịch UBND thành phố.",NEI,Refuted,False
10,Chương trình giáo dục song ngữ sẽ tập trung dạy các môn khoa học tự nhiên bằng tiếng Anh trong giai đoạn hai.,"Giai đoạn 2 (2026-2030), đề án tập trung phát triển, nâng cao chất lượng dạy và học các môn học bằng tiếng Anh trong trường chuyên của tỉnh.",Refuted,NEI,False
12,Hầu hết nữ giới sẽ chọn định cư ở quần đảo thay vì tìm nơi khác sinh sống.,"Nhiều nữ giới lựa chọn theo học đại học ở các thành phố lớn, sau đó, họ định cư ở thành phố để có được cơ hội việc làm tốt hơn, phù hợp với những ngành nghề mà mình đã theo học. Nhiều người không quay trở về quần đảo Faroe sinh sống nữa",Refuted,NEI,False
13,Chat GPT sử dụng hệ dữ liệu lớn đến từ hàng tỉ trang tài liệu trên toàn thế giới nhưng không hỗ trợ học sinh và giảng viên trong quá trình phát triển kỹ năng viết và đọc hiểu ngôn ngữ.,"ChatGPT sử dụng hệ dữ liệu lớn đến từ hàng tỉ trang tài liệu đã được công bố trên khắp thế giới, do đó nó có thể viết được một tiểu luận tốt với thông tin đầy đủ và tương đối chính xác Chat GPT có thể hỗ trợ học sinh và giảng viên trong quá trình phát triển kỹ năng viết và đọc hiểu ngôn ngữ.",Refuted,Supported,False
14,"Bụi từ vũ khí chứa urani nghèo có thể đi vào sâu trong các cơ quan nội tạng, gây ung thư phổi, dẫn đến cái chết nhanh chóng.",Bụi từ đó có thể đi vào phổi và các nội tạng quan,NEI,Supported,False
15,Trong doanh nghiệp và văn phòng thì sử dụng Prompt giúp tiết kiệm thời gian và tăng năng suất làm việc gấp 5 lần so với thông thường khi không sử dụng.,"Đối với doanh nghiệp và người làm việc văn phòng, sử dụng Prompt giúp tiết kiệm thời gian và tăng hiệu quả làm việc bằng cách giảm thiểu việc phải nhập dữ liệu thủ công vào các bảng tính và phần mềm quản lý thông tin.",NEI,Refuted,False
18,Đề xuất của EVN đưa ra sau khi đơn vị tư vấn là Ban quản lý dự án điện 4 (thuộc EVN) đã rà soát nhu cầu phụ tải điện và xây dựng các thông báo.,Đề xuất của EVN đưa ra sau khi đơn vị tư vấn là Ban quản lý dự án điện 3 (thuộc EVN) đã rà soát nhu cầu phụ tải điện và xây dựng các phương án. Đề xuất của EVN đưa ra sau khi đơn vị tư vấn là Ban quản lý dự án điện 3 (thuộc EVN) đã rà soát nhu cầu phụ tải điện và xây dựng các phương án.,Refuted,Supported,False
20,Các thủ thuật phẫu thuật được thực hiện khi trẻ 2 tuổi.,PGS Hoa cho biết bệnh nhi được phẫu thuật hạ tinh hoàn 2 bên xuống bìu lúc 1 tuổi và phẫu thuật tạo hình niệu đạo đưa lỗ tiểu thấp từ vị trí tầng sinh môn lên đỉnh quy đầu khi cháu 22 tháng tuổi.,Refuted,NEI,False
22,Bộ Tài chính Hoa Kỳ đảm bảo rằng hệ thống ngân hàng Hoa Kỳ ổn định và có thể chịu được bất kỳ cú sốc tài chính nào.,"biết, Hội đồng giám sát ổn định tài chính thống nhất rằng hệ thống ngân hàng của Mỹ “lành mạnh và có sức chống chịu”. “Điều chúng tôi thấy chưa rõ ràng là những căng thẳng trong hệ thống ngân hàng hiện nay chừng nào sẽ dẫn đến khủng hoảng tín dụng diện rộng.",Refuted,NEI,False
23,"Chủ tịch PSSI cố gắng giúp Indonesia giữ quyền đăng cai U20 World Cup 2023, bên cạnh đó Thổng đốc Bali tuyên bố không cho phép đội tuyển quốc gia U20 Iran tham gia giải đấu.","Chủ tịch PSSI, đang tìm cách giúp Indonesia giữ quyền đăng cai U20 World Cup 2023 Thống đốc Bali tuyên bố từ chối cho phép đội tuyển quốc gia U20 Israel tham gia giải đấu",Refuted,Supported,False
24,Bạn của Alex Kwong – chồng cũ Abby Choi bị buộc tội vì hỗ trợ cho chồng cũ của Abby Choi chạy trốn.,Một người phụ nữ Hồng Kông (Trung Quốc) bị buộc tội sắp xếp thuyền trong nỗ lực giúp chồng cũ của người mẫu Abby Choi (Thái Thiên Phượng) bỏ trốn bạn của Alex Kwong – chồng cũ Abby Choi (Thái Thiên Phượng). hỗ trợ chồng cũ của Abby Choi trong việc ẩn náu và chạy trốn,Supported,Refuted,False
27,"Thành phố đã chỉ đạo công an tăng cường theo dõi, giám sát qua camera để phát hiện người vi phạm và cũng đề người dân quan sát và tình báo cho chính quyền.","cho hay thành phố đã chỉ đạo công an tăng cường theo dõi, giám sát qua camera để phát hiện người vi phạm,",NEI,Refuted,False
29,Khoảng 1/3 tổng số ngoại hành tinh là siêu Trái Đất - đây là thuật ngữ dùng cho những hành tinh nhỏ hơn Trái Đất và nhẹ hơn hành tinh khí khổng lồ.,Khoảng 1/3 tổng số ngoại hành tinh là siêu Trái Đất Siêu Trái Đất là thuật ngữ dùng cho những hành tinh lớn hơn Trái Đất nhưng nhẹ hơn hành tinh khí khổng lồ.,Refuted,Supported,False
31,Covid-19 đang bước vào giai đoạn cầm chừng do đó việc bắt buộc phải đeo khẩu trang vẫn còn tiếp tục,"Trong khi đó, báo Trung Quốc Global Times ngày 29.3 cho biết, chuyên gia về bệnh truyền nhiễm nổi tiếng của Trung Quốc tin rằng nước này bước vào giai đoạn tỷ lệ nhiễm Covid-19 mới thấp, việc đeo khẩu trang giờ đây trở thành một biện pháp không bắt buộc.",Refuted,NEI,False
32,Dù là xét tuyển hay thi tuyển thì thí sinh đều không phải cố gắng học nhiều.,"áp lực khó thay đổi dù thi hay xét tuyển khi mà giữa cung và cầu, giữa số lượng vào và số chỗ để tiếp nhận là khác nhau nên thi hay xét tuyển thì áp lực cũng không hề giảm mà chỉ chuyển từ chỗ này sang chỗ khác, thời gian này sang thời gian khác. Nếu tổ chức thi thì áp lực dồn vào thời gian ôn thi và thi nhưng nếu dựa vào xét tuyển trên học bạ thì áp lực rải ra các năm học.",Refuted,NEI,False
34,"NXB Regiospectra ấn hành tại Đức, bìa sách Mùi hương trầm bản tiếng Đức Tập tùy bút du hành nổi tiếng Mùi hương trầm của Nguyễn Tường Bách vừa được chính tác giả dịch sang tiếng Đức.","Bìa sách Mùi hương trầm bản tiếng Đức Tập tùy bút du hành nổi tiếng Mùi hương trầm của Nguyễn Tường Bách vừa được chính tác giả dịch sang tiếng Đức, do NXB Regiospectra ấn hành tại Đức",Supported,NEI,False
35,"Giám đốc tài chính của Victoria's Secret - Timothy Johnson cho biết, quyết định này được đưa ra trong cuộc họp của ban quản lý nhãn hiệu danh tiếng vào tháng 3/2023, theo đó, công ty sẽ dụa trên tiêu chí tiếp thị để rót tiền vào các hoạt động thương mại.","Timothy Johnson - Giám đốc tài chính của Victoria's Secret cho biết Quyết định này được đưa ra trong cuộc họp của ban quản lý nhãn hiệu danh tiếng vào tháng 3/2023. họ sẽ dựa trên tiêu chí tiếp thị để rót tiền vào các hoạt động kinh doanh,",Supported,NEI,False
36,"Kết luận của UBKT Trung ương tại Kỳ họp thứ 23 đối với Ban cán sự đảng UBND tỉnh Đồng Nai và một số tổ chức đảng, đảng viên có liên quan là thi hành kỷ luật Ban Thường vụ Tỉnh ủy Đồng Nai, trong đó có 2 cá nhân trong tổ chức bị phạt nặng nhất.","kết luận của UBKT Trung ương tại Kỳ họp thứ 23 đối với Ban cán sự đảng UBND tỉnh Đồng Nai và một số tổ chức đảng, đảng viên có liên quan thi hành kỷ luật Ban Thường vụ Tỉnh ủy Đồng Nai",NEI,Supported,False
37,Nhiều bình luận bày tỏ sự mong chờ tác phẩm và kỳ vọng vào sự kết hợp của 2 diễn viên Lee Dong Wook và Kim So Yeon chủ yếu đến từ khán giả Việt Nam.,"Nhiều bình luận bày tỏ sự mong chờ tác phẩm: Đặc biệt, không ít fan kỳ vọng vào màn kết hợp giữa Lee Dong Wook và Kim So Yeon.",NEI,Refuted,False
38,Prompt điều khiển hành vi và kết quả của AI và không yêu cầu Ai tuân theo các tiêu chí và ràng buộc nào.,Prompt giúp điều khiển hành vi và kết quả của AI khi sử dụng ChatGPT. Nó yêu cầu AI tuân theo các tiêu chí và ràng buộc do người dùng đặt ra,Refuted,Supported,False
41,"Chiều 28/3, tại Văn phòng Cục An ninh Quốc phòng, Bộ Công an tổ chức họp báo thông tin về tình hình, kết quả các mặt công tác công an quý I/2023, nhiệm vụ công tác trọng tâm thời gian tới với người chủ trì cuộc họp là Trung tướng Tô Ân Xô.","Chiều 28/3, Bộ Công an tổ chức họp báo thông tin về tình hình, kết quả các mặt công tác công an quý I/2023, nhiệm vụ công tác trọng tâm thời gian tới. Trung tướng Tô Ân Xô",NEI,Supported,False
43,"Nền cờ có màu đỏ tươi như màu cờ Tổ quốc; biểu tưởng ""Búa - Liềm"" được đặt ở trung tâm lá cờ có màu vàng tươi như màu ngôi sao 5 cánh của cờ Tổ quốc.","Nền cờ màu đỏ tươi (như màu của cờ Tổ quốc); biểu tượng “Búa - Liềm” màu vàng tươi (như màu ngôi sao vàng 5 cánh của cờ Tổ quốc)… ""Búa - Liềm"" đặt ở trung tâm của lá cờ",Supported,Refuted,False
45,Nhật Bản đã thể hiện rất tốt trước Uruguay nên quyết tâm đả bại Colombia để vô địch trên sân nhà.,"Trong trận đấu vừa qua, Nhật Bản đã thể hiện rất tốt trước Uruguay và nếu may mắn hơn, đáng ra họ đã bỏ túi chiến thắng. Hôm nay, Nhật Bản sẽ quyết tâm đả bại Colombia để vô địch trên sân nhà.",Supported,NEI,False
