gold_label,pred_label,statement,evidence,is_error,has_negation,is_long,has_close_numbers
Refuted,NEI,Bộ xương bản sao được đưa đến Lodon bằng cách nghép thành con hoàn chỉnh rồi vận chuyển đến.,"đại diện Bảo tàng Lịch sử tự nhiên London cho biết bộ xương bản sao đã được đưa đến London trong 32 thùng riêng biệt, nghĩa là ""mỗi mảnh phải được ghép lại với nhau như một trò chơi ghép hình khổng lồ"".",True,False,False,False
Refuted,NEI,Chương trình giáo dục song ngữ sẽ tập trung dạy các môn khoa học tự nhiên bằng tiếng Anh trong giai đoạn hai.,"Giai đoạn 2 (2026-2030), đề án tập trung phát triển, nâng cao chất lượng dạy và học các môn học bằng tiếng Anh trong trường chuyên của tỉnh.",True,False,False,False
Supported,NEI,"Giám đốc tài chính của Victoria's Secret - Timothy Johnson cho biết, quyết định này được đưa ra trong cuộc họp của ban quản lý nhãn hiệu danh tiếng vào tháng 3/2023, theo đó, công ty sẽ dụa trên tiêu chí tiếp thị để rót tiền vào các hoạt động thương mại.","Timothy Johnson - Giám đốc tài chính của Victoria's Secret cho biết Quyết định này được đưa ra trong cuộc họp của ban quản lý nhãn hiệu danh tiếng vào tháng 3/2023. họ sẽ dựa trên tiêu chí tiếp thị để rót tiền vào các hoạt động kinh doanh,",True,False,False,False
Supported,NEI,Trận đấu tiếp theo của U20 Việt Nam là gặp U20 Iran tại VCK U20 châu Á.,"chúng tôi cần tính toán kỹ lưỡng cho trận đấu với U20 Iran"" Tối 4/3, U20 Việt Nam giành chiến thắng trước Qatar nhờ các pha lập công của Nguyễn Quốc Việt và Nguyễn Văn Trường",True,False,False,False
Supported,Refuted,"Nguyễn Thị Tâm sẽ đối đầu với Nikhat Zareen, võ sĩ nước chủ nhà Ấn Độ, trong trận chung kết Giải vô địch Boxing nữ thế giới 2023 hạng 48-50 kg.","đến vòng bán kết, nữ võ sĩ Việt Nam Nguyễn Thị Tâm gặp võ sĩ người Pháp Lkhadiri Wassila",True,False,False,False
Refuted,NEI,Biện pháp xác minh bằng giọng nói của người dùng sẽ được TikTok cũng sẽ áp dụng để chánh lộ thông tin và sẽ không thể xác định danh tính người dùng nếu thiếu địa chỉ nhà.,"TikTok cũng sẽ áp dụng biện pháp ""giả danh tính"" dữ liệu cá nhân để tạo ra một lớp bảo vệ thông tin người dùng biện pháp này, sẽ không thể xác định danh tính người dùng nếu thiếu thông tin bổ sung",True,True,False,False
Refuted,NEI,"Sở cũng yêu cầu các cơ sở giáo dục phối hợp với lực lượng chức năng tại địa phương đảm bảo trật tự, an toàn cho học sinh, sinh viên tại những khu vực đông đúc gần trường.","Sở cũng yêu cầu các cơ sở giáo dục phối hợp với lực lượng chức năng tại địa phương đảm bảo trật tự, an toàn cho học sinh, sinh viên tại khu vực cổng trường.",True,False,False,False
Supported,NEI,Sự xuất hiện của một hành tinh đá lớn như siêu Trái Đất sẽ làm hỗn loạn quỹ đạo của phần lớn hành tinh khi nó có thể đẩy Trái Đất và nhiều hành tinh khác ra khỏi hệ.,Một hành tinh lớn như siêu Trái Đất sẽ gây rối loạn quỹ đạo của phần lớn hành tinh Sự xuất hiện của một hành tinh đá lớn có thể đẩy Trái Đất và nhiều hành tinh khác ra khỏi hệ.,True,False,False,False
Refuted,Supported,Ông Long đã làm bẫy chuột bằng chất hóa học để diệt chuột phá ruộng.,", do bị chuột phá hoại diện tích lúa mới gieo cấy tại cánh đồng Trại Họ, khoảng 18h ngày 22/3, ông Nguyễn Văn Long (69 tuổi, trú tại thị trấn Tân Thanh, huyện Thanh Liêm) đã kéo đường dây thép quây xung quanh ruộng, nối điện từ nhà ra để giăng lưới diệt chuột.",True,False,False,False
Refuted,Supported,"Thông tin 2 thanh niên lạ mặt đi xe máy, tiếp cận học sinh ở nhiều trường học tại thành phố Vinh (Nghệ An) với ý đồ xấu đã nhanh chóng lan truyền đến nhóm phụ huynh học sinh, gây nên sự hoang mang đến các phụ huynh.","Gần đây nhiều nhóm phụ huynh tại thành phố Vinh (Nghệ An) lan truyền thông tin về hiện tượng 2 thanh niên lạ mặt đi xe máy, tiếp cận học sinh ở nhiều trường học với ý đồ xấu. Thông tin này nhanh chóng được chia sẻ, cảnh báo đến nhiều nhóm phụ huynh nhiều trường học khác nhau tại thành phố Vinh (Nghệ An), khiến nhiều người hoang mang",True,False,False,False
