source_row,statement,evidence,label_name,predicted_label,is_correct
2,Đối tượng cố gắng bỏ chạy sau khi lực lượng công an đón dừng xe để kiểm tra.,"Khi lực lượng công an đón dừng xe để kiểm tra, Thành đã tăng tốc độ để bỏ chạy và va chạm với một xe ô tô khác đi ngược chiều",Supported,Refuted,False
7,"Trong phim Everything Everywhere All at Once diễn viên Quan Kế Huy sinh năm 1890, người giành giải diễn viên nam chính xuất sắc nhất nói lời cảm ơn Viện hàn lâm vì giải thưởng vinh dự này.","Diễn viên Quan Kế Huy, người giành giải diễn viên nam phụ xuất sắc nhất trong phim Everything Everywhere All at Once Cảm ơn Viện hàn lâm vì giải thưởng vinh dự này",Refuted,NEI,False
11,Chân sút Brobbey ở tuổi 23 đã có 12 bàn thắng trên mọi đấu trường mùa này cho Ajax và 35 bàn thắng ở các cấp độ trẻ của Hà Lan sẽ là đối thử của Mbappe.,Chân sút 21 tuổi Brobbey đã có 12 bàn thắng trên mọi đấu trường mùa này cho Ajax và 32 bàn thắng ở các cấp độ trẻ của Hà Lan.,Refuted,NEI,False
19,Sự việc 2 thanh niên lạ mặt đi xe máy tiếp cận học sinh ở nhiều trường tại Vinh với mục đích bắt cóc chưa được kiểm định chính xác.,"Thông tin chưa được kiểm định chính xác hiện tượng 2 thanh niên lạ mặt đi xe máy, tiếp cận học sinh ở nhiều trường học với ý đồ xấu.",Supported,NEI,False
35,"Giám đốc tài chính của Victoria's Secret - Timothy Johnson cho biết, quyết định này được đưa ra trong cuộc họp của ban quản lý nhãn hiệu danh tiếng vào tháng 3/2023, theo đó, công ty sẽ dụa trên tiêu chí tiếp thị để rót tiền vào các hoạt động thương mại.","Timothy Johnson - Giám đốc tài chính của Victoria's Secret cho biết Quyết định này được đưa ra trong cuộc họp của ban quản lý nhãn hiệu danh tiếng vào tháng 3/2023. họ sẽ dựa trên tiêu chí tiếp thị để rót tiền vào các hoạt động kinh doanh,",Supported,NEI,False
58,Lí do bị lộ thông tin cá nhân có thể là do hệ thống bị tấn công và lấy thông tin hoặc là do người của hệ thống bán thông tin cho bên thứ ba.,"Theo Bộ TT-TT, việc lộ lọt dữ liệu cá nhân ở Việt Nam thời gian qua chủ yếu do 2 nguyên nhân. Thứ nhất, do các hệ thống thông tin, thu thập, xử lý, lưu trữ dữ liệu cá nhân của người dùng không bảo đảm an toàn, an ninh mạng, dẫn đến bị tấn công, khai thác. Thứ 2, tổ chức, DN thu thập, xử lý dữ liệu cá nhân của người dùng và chia sẻ trái phép với bên thứ ba hoặc bên thứ ba cấu kết với nhân viên quản lý dữ liệu của tổ chức, DN để lấy dữ liệu; thu thập thông qua việc tạo các trang web, tài khoản mạng xã hội; dụ dỗ người dân cung cấp thông tin.",Supported,Refuted,False
59,Trận đấu tiếp theo của U20 Việt Nam là gặp U20 Iran tại VCK U20 châu Á.,"chúng tôi cần tính toán kỹ lưỡng cho trận đấu với U20 Iran"" Tối 4/3, U20 Việt Nam giành chiến thắng trước Qatar nhờ các pha lập công của Nguyễn Quốc Việt và Nguyễn Văn Trường",Supported,NEI,False
64,Thời tiết tại Thổ Nhĩ Kỳ khắc nghiệt hơn so với Việt Nam gây ra không ít khó khăn đối với đoàn cứu hộ Việt Nam vì sự chênh lệch nhiệt độ giữa ngày và đêm.,"những khó khăn nhất định liên quan đến điều kiện thời tiết rất khắc nghiệt so với tại Việt Nam ban ngày tại khu vực cứu trợ đối với anh em cán bộ, chiến sĩ không phải là vấn đề lớn ban đêm quả là một thách thức vì nhiệt độ xuống tới âm 6 - âm 7 độ C, trong khi các cán bộ, chiến sĩ phải ngủ trong lán trại dựng ngoài trời.",Supported,Refuted,False
79,"NASA đã công bố bức hình tuyệt đẹp của WR 124 vào ngày 15/3, với hình ảnh ngôi sao này được bao quanh bởi mây khí bụi, là vật chất thoát ra từ ngôi sao già cỗi trong các vụ phóng hỗn loạn và ngẫu nhiên.",Trong bức ảnh tuyệt đẹp được NASA công bố hôm 14/3 Những đám mây khổng lồ này là vật chất thoát ra từ ngôi sao già cỗi trong các vụ phóng hỗn loạn và ngẫu nhiên. WR 124 được bao quanh bởi mây khí bụi,Refuted,Supported,False
82,"Nguyễn Thị Tâm sẽ đối đầu với Nikhat Zareen, võ sĩ nước chủ nhà Ấn Độ, trong trận chung kết Giải vô địch Boxing nữ thế giới 2023 hạng 48-50 kg.","đến vòng bán kết, nữ võ sĩ Việt Nam Nguyễn Thị Tâm gặp võ sĩ người Pháp Lkhadiri Wassila",Supported,Refuted,False
