split,field,issue,count
train,statement,has_url,2
train,statement,has_html,0
train,statement,has_repeated_space,0
train,statement,replacement_character,0
train,statement,zero_width_character,0
train,statement,not_nfc,0
train,context,has_url,120
train,context,has_html,0
train,context,has_repeated_space,0
train,context,replacement_character,0
train,context,zero_width_character,0
train,context,not_nfc,0
train,evidence,has_url,4
train,evidence,has_html,0
train,evidence,has_repeated_space,0
train,evidence,replacement_character,0
train,evidence,zero_width_character,0
train,evidence,not_nfc,0
dev,statement,has_url,1
dev,statement,has_html,0
dev,statement,has_repeated_space,0
dev,statement,replacement_character,0
dev,statement,zero_width_character,0
dev,statement,not_nfc,0
dev,context,has_url,15
dev,context,has_html,0
dev,context,has_repeated_space,0
dev,context,replacement_character,0
dev,context,zero_width_character,0
dev,context,not_nfc,0
dev,evidence,has_url,1
dev,evidence,has_html,0
dev,evidence,has_repeated_space,0
dev,evidence,replacement_character,0
dev,evidence,zero_width_character,0
dev,evidence,not_nfc,0
test,statement,has_url,2
test,statement,has_html,0
test,statement,has_repeated_space,0
test,statement,replacement_character,0
test,statement,zero_width_character,0
test,statement,not_nfc,0
test,context,has_url,33
test,context,has_html,0
test,context,has_repeated_space,0
test,context,replacement_character,0
test,context,zero_width_character,0
test,context,not_nfc,0
test,evidence,has_url,2
test,evidence,has_html,0
test,evidence,has_repeated_space,0
test,evidence,replacement_character,0
test,evidence,zero_width_character,0
test,evidence,not_nfc,0
