claim_id,claim_index,statement,retrieved_evidence,gold_label,predicted_label,is_correct,error_type,failure_reason
dev_1977,1977,"Đồng chí Đại tá Hồ Xuân Tùng, Phó Cục trưởng Cục Kỹ thuật đã đánh giá cao tinh thần dân chủ trong đơn vị, nghỉ công tác, nghỉ chờ hưu theo quyết định của Bộ trưởng Bộ Quốc phòng.","Theo quyết định của Bộ trưởng Bộ Quốc phòng, đợt này Đại tá Hồ Xuân Tùng, Phó Chủ nhiệm Kỹ thuật Quân khu nghỉ công tác, nghỉ chờ hưu; Đại tá Hoàng Anh Tú, Phó Chỉ huy trưởng Bộ CHQS tỉnh Hà Tĩnh giữ chức Phó Chỉ huy trưởng, Tham mưu trưởng Bộ CHQS tỉnh Hà Tĩnh; Thượng tá Nguyễn Tiến Dũng, Phó Chính ủy Sư đoàn 968 giữ chức Chủ nhiệm Chính trị Học viện Hậu cần; Thượng tá Nguyễn Tú Tài, Phó Tham mưu trưởng Bộ CHQS tỉnh Hà Tĩnh giữ chức Phó Chỉ huy trưởng Bộ CHQS tỉnh Hà Tĩnh. Đối với Bộ CHQS tỉnh Thừa Thiên Huế có 2 đồng chí nhận chức vụ mới.",NEI,Refuted,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_684,684,Nhật Bản không có nhiều cầu thủ chơi cho các CLB quốc tế nên có thể có nhiều phương án thay thế khi chấn thương hơn Columbia.,"Nhưng khác với Colombia, Nhật Bản lại có nhiều phương án để thay thế, đặc biệt là trên hàng công. Sự dồi dào về đội hình, cái duyên trước các đội bóng Nam Mỹ nhiều khả năng sẽ giúp Nhật Bản giành chiến thắng.",NEI,Refuted,False,Phủ định / Đảo ngữ,Bằng chứng chứa quan hệ phủ định nhưng câu đơn lẻ làm mất hướng khẳng định.
dev_934,934,Một trong những đối tượng hành hung bắt gặp anh Thiện và anh Tây cùng với gia đình tại một quán cafe.,"Tối 5-12-2021, Quốc Chiến đang ngồi tại một quán ở trước Công viên văn hóa An Hòa (TP Rạch Giá) thì thấy anh Thiện Chiến đang ngồi bàn bên cạnh cùng với anh Tây và một số người khác.",NEI,Refuted,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_3629,3629,Phó Giám đốc Trung tâm Bảo tồn di tích tỉnh Khánh Hòa đã yêu cầu Ban quản lý di tích Tháp Bà Ponagar báo cáo sự việc và chủ động liên hệ với du khách nhưng bị ban quản lý phản đối.,"Về sự việc này, ông Nguyễn Tuấn Dũng - Phó Giám đốc Trung tâm Bảo tồn di tích tỉnh Khánh Hòa, cho biết đã yêu cầu Ban quản lý di tích Tháp Bà Ponagar báo cáo sự việc, chủ động liên hệ với du khách W.P để xin lỗi.",NEI,Refuted,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_6165,6165,"Thổng thống Florida Ron DeSantis, cùng là thành viên Đảng Cộng hòa với ông Trump, chỉ trích rằng quyết định truy tố là ""Vũ khí hóa hệ thống pháp luật để thúc đẩy một chương trình nghị sự chính trị"".","Thống đốc Florida Ron DeSantis, người được coi là đối thủ cạnh tranh hàng đầu của ông Trump cho đề cử của đảng Cộng hòa, chỉ trích rằng quyết định truy tố là ""vũ khí hóa hệ thống pháp luật để thúc đẩy một chương trình nghị sự chính trị"".",NEI,Refuted,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_2890,2890,ChatGPT giúp người dùng có thể trao đổi trực tiếp và gián tiếp thông qua hình thức hỏi đáp là chính với những có sở dữ liệu có sẵn được thu nhập kể từ năm 2021 trở về trước.,"ChatGPT giúp người dùng trao đổi trực tiếp thông qua hình thức hỏi đáp là chính với những cơ sở dữ liệu thu thập được trên internet, mạng xã hội, các trang web kể từ năm 2021 trở về trước.",NEI,Refuted,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_6524,6524,"Nguyễn Việt Dũng, thủ khoa Đại học Sư phạm Hà Nội là cử nhân Toán học.",Có thể được giữ lại làm giảng viên nhưng thủ khoa Đại học Sư phạm Hà Nội Nguyễn Việt Dũng về dạy học ở quê vì mong góp sức cho ngôi trường cũ.,NEI,Refuted,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_2423,2423,Đội tuyển U20 Việt Nam đã có một khởi đầu rất tốt ở giải đấu này nhưng đáng tiếc là không thể vượt qua vòng loại khi phải đối đầu với đội bóng qua 7 lần tham dự đã từng giành 1 chức Á quân.,"(Chinhphu.vn) - Vào 17h chiều nay (1/3, giờ Việt Nam), ĐT U20 Việt Nam bước vào cuộc so tài đầu tiên tại vòng bảng Cúp Bóng đá U20 châu Á, gặp U20 Australia, đội bóng qua 7 lần tham dự đã từng giành 1 chức Á quân, 2 lần vào bán kết và 2 lần vào tứ kết.",NEI,Refuted,False,Phủ định / Đảo ngữ,Bằng chứng chứa quan hệ phủ định nhưng câu đơn lẻ làm mất hướng khẳng định.
dev_6749,6749,"Nhà giáo ưu tú, PGS-TS Lương Minh Cừ tăng tranh lưu niệm cho ngày Đại sứ Hỗ trợ đào tạo nguồn nhân lực và nghiên cứu khoa học.","Nhà giáo ưu tú, PGS-TS Lương Minh Cừ tặng quà lưu niệm cho ngày Đại sứ Hỗ trợ đào tạo nguồn nhân lực và nghiên cứu khoa học.",NEI,Refuted,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_4896,4896,Sở Giáo dục và Đào tạo đã chỉ đạo các trường học tạm thời đóng cửa để ngăn chặn hình thức lừa đảo mới tiếp diễn.,"Với chiêu thức lừa đảo mới này, Sở Giáo dục và Đào tạo TP Hồ Chí Minh đã yêu cầu các cơ sở giáo dục tiếp tục rà soát, chấn chỉnh công tác truyền thông, liên lạc giữa cơ sở giáo dục với gia đình học sinh, sinh viên; đảm bảo các kênh thông tin giữa nhà trường và phụ huynh luôn được thông suốt.",NEI,Refuted,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
