claim_id,claim_index,claim,retrieved_evidence,bm25_score,sbert_sim,hybrid_score,retrieval_rank,is_gold,label,gold_evidence
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.",Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V.,56.3285,0.9325,1.0,1,True,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Trong số đó, có vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật vào tháng 4.1936 tại phòng Charlie Chaplin Suite.",51.378,0.89,0.9339,2,True,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Phu nhân cựu Tổng thống Pháp, bà Bernadette Chirac, lưu trú tại khách sạn vào năm 2004 TL Không chỉ có những sản phẩm và dịch vụ chuyên nghiệp, Saigon Morin còn mang đến cho du khách những trải nghiệm thú vị về lịch sử 122 năm.",6.8516,0.2632,0.2126,3,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Khách sạn Saigon Morin hiện nay Hương Giang Khách sạn Saigon Morin cũng là địa điểm để tỉnh Thừa Thiên-Huế và các bộ, ngành lựa chọn tổ chức các hội nghị quốc gia, quốc tế...",3.4265,0.2643,0.1828,4,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Nơi đây cũng từng đón tiếp và phục vụ nhiều nhân vật nổi tiếng, các nguyên thủ quốc gia trên thế giới như: Thủ tướng Pháp Francois Fillon (năm 2009), Chủ tịch Quốc hội Hàn Quốc Lim Chae Jung (năm 2008), Chủ tịch Quốc hội Na Uy Anne Marit Bjørnflaten (năm 2008), Phu nhân cựu Tổng thống Pháp Madam Bernadette Chirac (năm 2004)...",3.7778,0.2558,0.1815,5,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Khách sạn có 4 mặt tiền thuộc các giao lộ Lê Lợi - Hùng Vương, Hoàng Hoa Thám - Trương Định (TP.Huế, Thừa Thiên-Huế) bên cạnh cầu Trường Tiền với ""view"" sông Hương thơ mộng, Phó chủ tịch thường trực UBND tỉnh Thừa Thiên-Huế, ông Nguyễn Thanh Bình (phải), trao cờ đơn vị dẫn đầu thi đua có nhiều đóng góp cho du lịch của tỉnh cho ông Trần Văn Lâm, Tổng giám đốc Saigon Morin, tại lễ kỷ niệm 122 năm HƯƠNG GIANG Khách sạn ra đời vào năm 1901 khi ông Henri Bogaert, chủ nhà máy gạch ngói Long Thọ, cho khởi công xây dựng và lấy tên là ""Grand Hotel de Hue"".",3.4635,0.1584,0.128,6,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Khách sạn nhanh chóng trở thành trung tâm thương mại, văn hóa và du lịch của kinh đô Huế thời nhà Nguyễn.",2.0147,0.1813,0.1271,7,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Ngoài việc phục vụ du khách, Saigon Morin còn đảm nhiệm vai trò ""nhà khách"" của Chính phủ Nam triều và Chính phủ bảo hộ, cơ quan Trung kỳ.",4.1195,0.1154,0.1115,8,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Khi lưu trú, du khách còn có cơ hội chiêm ngưỡng hàng trăm bức tranh, ảnh cổ về lịch sử thành phố Huế từ những năm đầu thế kỷ 20 và về lịch sử 122 năm của khách sạn.",1.7195,0.1255,0.0954,9,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
dev_6040,6040,"Vào tháng 4.1930 TL Nhà vua Na Uy Harald V, Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin tại phòng Charlie Chaplin Suite.","Trong đó, có nhiều sự kiện vinh dự được đón các vị nguyên thủ quốc gia các nước, lãnh đạo Đảng, Nhà nước đến dự và lưu trú.",0.7225,0.1294,0.0886,10,False,1,Vua hề Charlie Chaplin (vua hề Sác lô) và vợ từng trải qua kỳ nghỉ trăng mật tại khách sạn Saigon Morin vào tháng 4.1936 TL Nhà vua Na Uy Harald V. tại phòng Charlie Chaplin Suite
